round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.49521,0.48988,0.49587,0.40794,0.49521,0.49521,0.49521
1,1,0.50271,0.66939,0.50356,0.34231,0.50271,0.50271,0.50271
1,2,0.47786,0.47765,0.47779,0.47701,0.47786,0.47786,0.47786
1,3,0.49914,0.24957,0.5,0.33295,0.49914,0.49914,0.49914
1,4,0.49429,0.48548,0.49364,0.41117,0.49429,0.49429,0.49429
1,5,0.49914,0.24957,0.5,0.33295,0.49914,0.49914,0.49914
1,6,0.49693,0.48441,0.49618,0.37928,0.49693,0.49693,0.49693
1,7,0.49914,0.24957,0.5,0.33295,0.49914,0.49914,0.49914
1,8,0.49914,0.24957,0.5,0.33295,0.49914,0.49914,0.49914
1,9,0.49914,0.24957,0.5,0.33295,0.49914,0.49914,0.49914
2,0,0.47986,0.47632,0.4802,0.4578,0.47986,0.47986,0.47986
2,1,0.5035,0.65788,0.50435,0.34475,0.5035,0.5035,0.5035
2,2,0.47793,0.47637,0.47772,0.47025,0.47793,0.47793,0.47793
2,3,0.50707,0.68535,0.50791,0.35269,0.50707,0.50707,0.50707
2,4,0.49129,0.48086,0.49067,0.41609,0.49129,0.49129,0.49129
2,5,0.50086,0.25043,0.5,0.33371,0.50086,0.50086,0.50086
2,6,0.49893,0.4845,0.49812,0.35714,0.49893,0.49893,0.49893
2,7,0.50086,0.25043,0.5,0.33371,0.50086,0.50086,0.50086
2,8,0.50086,0.25043,0.5,0.33371,0.50086,0.50086,0.50086
2,9,0.50893,0.67769,0.50976,0.35771,0.50893,0.50893,0.50893
3,0,0.48114,0.46495,0.48174,0.41098,0.48114,0.48114,0.48114
3,1,0.50479,0.67892,0.50563,0.34729,0.50479,0.50479,0.50479
3,2,0.47536,0.47264,0.4751,0.46315,0.47536,0.47536,0.47536
3,3,0.49929,0.62461,0.50014,0.3334,0.49929,0.49929,0.49929
3,4,0.48493,0.47629,0.48443,0.43627,0.48493,0.48493,0.48493
3,5,0.50086,0.25043,0.5,0.33371,0.50086,0.50086,0.50086
3,6,0.5005,0.49544,0.49967,0.34881,0.5005,0.5005,0.5005
3,7,0.49764,0.4807,0.49686,0.36403,0.49764,0.49764,0.49764
3,8,0.50086,0.25043,0.5,0.33371,0.50086,0.50086,0.50086
3,9,0.49929,0.62461,0.50014,0.3334,0.49929,0.49929,0.49929
4,0,0.46486,0.44732,0.46536,0.41508,0.46486,0.46486,0.46486
4,1,0.50257,0.55002,0.5034,0.35215,0.50257,0.50257,0.50257
4,2,0.47243,0.46616,0.47207,0.44812,0.47243,0.47243,0.47243
4,3,0.49971,0.58305,0.50057,0.33523,0.49971,0.49971,0.49971
4,4,0.494,0.47675,0.49328,0.38409,0.494,0.494,0.494
4,5,0.50086,0.25043,0.5,0.33371,0.50086,0.50086,0.50086
4,6,0.489,0.47602,0.48838,0.41298,0.489,0.489,0.489
4,7,0.50064,0.25038,0.49979,0.33362,0.50064,0.50064,0.50064
4,8,0.50086,0.25043,0.5,0.33371,0.50086,0.50086,0.50086
4,9,0.50657,0.68454,0.50741,0.3515,0.50657,0.50657,0.50657
5,0,0.46593,0.44104,0.46649,0.4017,0.46593,0.46593,0.46593
5,1,0.4995,0.6133,0.50036,0.33412,0.4995,0.4995,0.4995
5,2,0.48479,0.4798,0.48438,0.45359,0.48479,0.48479,0.48479
5,3,0.49929,0.74961,0.50014,0.33327,0.49929,0.49929,0.49929
5,4,0.49671,0.47329,0.49593,0.36078,0.49671,0.49671,0.49671
5,5,0.50086,0.25043,0.5,0.33371,0.50086,0.50086,0.50086
5,6,0.50021,0.48168,0.49937,0.34041,0.50021,0.50021,0.50021
5,7,0.49036,0.47056,0.48967,0.39116,0.49036,0.49036,0.49036
5,8,0.50086,0.25043,0.5,0.33371,0.50086,0.50086,0.50086
5,9,0.49929,0.74961,0.50014,0.33327,0.49929,0.49929,0.49929
6,0,0.4935,0.47044,0.49427,0.36627,0.4935,0.4935,0.4935
6,1,0.49936,0.60677,0.50021,0.33368,0.49936,0.49936,0.49936
6,2,0.46721,0.46646,0.46735,0.46373,0.46721,0.46721,0.46721
6,3,0.49936,0.60677,0.50021,0.33368,0.49936,0.49936,0.49936
6,4,0.50029,0.46183,0.49943,0.33624,0.50029,0.50029,0.50029
6,5,0.50086,0.25043,0.5,0.33371,0.50086,0.50086,0.50086
6,6,0.50021,0.47884,0.49937,0.33943,0.50021,0.50021,0.50021
