round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.7516,0.50117,0.50081,0.49706,0.7516,0.7516,0.7516
1,1,0.99573,0.56985,0.52722,0.53893,0.99573,0.99573,0.99573
1,2,0.4934,0.49255,0.49258,0.49228,0.4934,0.4934,0.4934
1,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,4,0.74661,0.48872,0.49088,0.48857,0.74661,0.74661,0.74661
1,5,0.00255,0.00128,0.5,0.00254,0.00255,0.00255,0.00255
1,6,0.86742,0.50069,0.50064,0.5006,0.86742,0.86742,0.86742
1,7,0.10944,0.05472,0.5,0.09864,0.10944,0.10944,0.10944
1,8,0.00556,0.00278,0.5,0.00552,0.00556,0.00556,0.00556
1,9,0.99832,0.49916,0.5,0.49958,0.99832,0.99832,0.99832
2,0,0.61619,0.49011,0.48542,0.47648,0.61619,0.61619,0.61619
2,1,0.99536,0.58942,0.55472,0.5678,0.99536,0.99536,0.99536
2,2,0.48651,0.48277,0.48375,0.47747,0.48651,0.48651,0.48651
2,3,0.99735,0.5,0.49868,0.49934,0.99735,0.99735,0.99735
2,4,0.73612,0.49063,0.49162,0.49074,0.73612,0.73612,0.73612
2,5,0.99745,0.49872,0.5,0.49936,0.99745,0.99745,0.99745
2,6,0.89569,0.49399,0.49712,0.49219,0.89569,0.89569,0.89569
2,7,0.89056,0.44528,0.5,0.47106,0.89056,0.89056,0.89056
2,8,0.99444,0.49722,0.5,0.49861,0.99444,0.99444,0.99444
2,9,0.9958,0.49916,0.49874,0.49895,0.9958,0.9958,0.9958
3,0,0.70646,0.48334,0.48391,0.48358,0.70646,0.70646,0.70646
3,1,0.99536,0.55397,0.52703,0.53587,0.99536,0.99536,0.99536
3,2,0.48186,0.47631,0.47842,0.46805,0.48186,0.48186,0.48186
3,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,4,0.6819,0.48484,0.4813,0.48118,0.6819,0.6819,0.6819
3,5,0.99745,0.49872,0.5,0.49936,0.99745,0.99745,0.99745
3,6,0.90857,0.48187,0.49524,0.48374,0.90857,0.90857,0.90857
3,7,0.86183,0.51483,0.5058,0.49937,0.86183,0.86183,0.86183
3,8,0.99444,0.49722,0.5,0.49861,0.99444,0.99444,0.99444
3,9,0.99832,0.49916,0.5,0.49958,0.99832,0.99832,0.99832
4,0,0.65434,0.47418,0.468,0.46894,0.65434,0.65434,0.65434
4,1,0.98236,0.51084,0.5482,0.51575,0.98236,0.98236,0.98236
4,2,0.48223,0.47296,0.47752,0.45666,0.48223,0.48223,0.48223
4,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,4,0.77634,0.48556,0.49195,0.48237,0.77634,0.77634,0.77634
4,5,0.99745,0.49872,0.5,0.49936,0.99745,0.99745,0.99745
4,6,0.79567,0.49553,0.49172,0.48712,0.79567,0.79567,0.79567
4,7,0.89056,0.44528,0.5,0.47106,0.89056,0.89056,0.89056
4,8,0.99444,0.49722,0.5,0.49861,0.99444,0.99444,0.99444
4,9,0.9958,0.49916,0.49874,0.49895,0.9958,0.9958,0.9958
5,0,0.68375,0.472,0.47014,0.47092,0.68375,0.68375,0.68375
5,1,0.9961,0.59842,0.52741,0.5425,0.9961,0.9961,0.9961
5,2,0.48949,0.47983,0.48417,0.4573,0.48949,0.48949,0.48949
5,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,4,0.8063,0.46857,0.49154,0.46567,0.8063,0.8063,0.8063
5,5,0.99745,0.49872,0.5,0.49936,0.99745,0.99745,0.99745
5,6,0.91841,0.46252,0.49613,0.47874,0.91841,0.91841,0.91841
5,7,0.82763,0.52313,0.51949,0.52062,0.82763,0.82763,0.82763
5,8,0.99444,0.49722,0.5,0.49861,0.99444,0.99444,0.99444
5,9,0.99832,0.49916,0.5,0.49958,0.99832,0.99832,0.99832
6,0,0.78626,0.48605,0.49501,0.47506,0.78626,0.78626,0.78626
6,1,0.99647,0.66509,0.52759,0.54674,0.99647,0.99647,0.99647
6,2,0.46977,0.47084,0.47151,0.4675,0.46977,0.46977,0.46977
6,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,4,0.83494,0.55746,0.50165,0.4615,0.83494,0.83494,0.83494
6,5,0.99745,0.49872,0.5,0.49936,0.99745,0.99745,0.99745
6,6,0.91823,0.46251,0.49604,0.47869,0.91823,0.91823,0.91823
6,7,0.74829,0.49794,0.49687,0.49244,0.74829,0.74829,0.74829
6,8,0.99444,0.49722,0.5,0.49861,0.99444,0.99444,0.99444
6,9,0.99664,0.49916,0.49916,0.49916,0.99664,0.99664,0.99664
7,0,0.71316,0.47554,0.47816,0.47647,0.71316,0.71316,0.71316
7,1,0.9961,0.59842,0.52741,0.5425,0.9961,0.9961,0.9961
7,2,0.51181,0.52143,0.51702,0.48801,0.51181,0.51181,0.51181
7,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,4,0.8275,0.46603,0.49721,0.45901,0.8275,0.8275,0.8275
7,5,0.99745,0.49872,0.5,0.49936,0.99745,0.99745,0.99745
7,6,0.92163,0.46264,0.49787,0.47961,0.92163,0.92163,0.92163
7,7,0.88372,0.4449,0.49616,0.46914,0.88372,0.88372,0.88372
7,8,0.99444,0.49722,0.5,0.49861,0.99444,0.99444,0.99444
7,9,0.99832,0.49916,0.5,0.49958,0.99832,0.99832,0.99832
8,0,0.82353,0.41224,0.49929,0.45161,0.82353,0.82353,0.82353
8,1,0.99647,0.66509,0.52759,0.54674,0.99647,0.99647,0.99647
8,2,0.51163,0.53355,0.50022,0.34016,0.51163,0.51163,0.51163
8,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,4,0.83319,0.51458,0.5006,0.46092,0.83319,0.83319,0.83319
8,5,0.99745,0.49872,0.5,0.49936,0.99745,0.99745,0.99745
8,6,0.91447,0.47767,0.49622,0.4818,0.91447,0.91447,0.91447
8,7,0.88509,0.44498,0.49693,0.46952,0.88509,0.88509,0.88509
8,8,0.99444,0.49722,0.5,0.49861,0.99444,0.99444,0.99444
8,9,0.99832,0.49916,0.5,0.49958,0.99832,0.99832,0.99832
9,0,0.53727,0.49405,0.4899,0.45372,0.53727,0.53727,0.53727
9,1,0.99629,0.62342,0.5275,0.54452,0.99629,0.99629,0.99629
9,2,0.52967,0.54977,0.53577,0.49725,0.52967,0.52967,0.52967
9,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,4,0.83384,0.51364,0.50046,0.45986,0.83384,0.83384,0.83384
9,5,0.99745,0.49872,0.5,0.49936,0.99745,0.99745,0.99745
9,6,0.92557,0.46278,0.5,0.48067,0.92557,0.92557,0.92557
9,7,0.88782,0.44513,0.49846,0.47029,0.88782,0.88782,0.88782
9,8,0.99444,0.49722,0.5,0.49861,0.99444,0.99444,0.99444
9,9,0.99832,0.49916,0.5,0.49958,0.99832,0.99832,0.99832
10,0,0.818,0.58063,0.51098,0.48385,0.818,0.818,0.818
10,1,0.99647,0.66509,0.52759,0.54674,0.99647,0.99647,0.99647
10,2,0.51312,0.51935,0.50241,0.36794,0.51312,0.51312,0.51312
10,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,4,0.8369,0.91843,0.50067,0.45693,0.8369,0.8369,0.8369
10,5,0.99745,0.49872,0.5,0.49936,0.99745,0.99745,0.99745
