round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.82469,0.41235,0.5,0.45196,0.82469,0.82469,0.82469
1,1,0.99666,0.49833,0.5,0.49916,0.99666,0.99666,0.99666
1,2,0.48856,0.24428,0.5,0.32821,0.48856,0.48856,0.48856
1,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,4,0.16331,0.08166,0.5,0.14039,0.16331,0.16331,0.16331
1,5,0.00255,0.00128,0.5,0.00254,0.00255,0.00255,0.00255
1,6,0.07443,0.03722,0.5,0.06928,0.07443,0.07443,0.07443
1,7,0.10944,0.05472,0.5,0.09864,0.10944,0.10944,0.10944
1,8,0.00556,0.00278,0.5,0.00552,0.00556,0.00556,0.00556
1,9,0.99832,0.49916,0.5,0.49958,0.99832,0.99832,0.99832
2,0,0.82528,0.72537,0.50362,0.46026,0.82528,0.82528,0.82528
2,1,0.99629,0.49833,0.49981,0.49907,0.99629,0.99629,0.99629
2,2,0.48912,0.57774,0.50052,0.33038,0.48912,0.48912,0.48912
2,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,4,0.16594,0.58187,0.50157,0.14383,0.16594,0.16594,0.16594
2,5,0.00383,0.50128,0.50064,0.00382,0.00383,0.00383,0.00383
2,6,0.07819,0.53736,0.50203,0.07356,0.07819,0.07819,0.07819
2,7,0.11491,0.55502,0.50307,0.10524,0.11491,0.11491,0.11491
2,8,0.00556,0.00278,0.5,0.00552,0.00556,0.00556,0.00556
2,9,0.99832,0.49916,0.5,0.49958,0.99832,0.99832,0.99832
3,0,0.43535,0.47808,0.46277,0.39499,0.43535,0.43535,0.43535
3,1,0.41701,0.49943,0.45836,0.29665,0.41701,0.41701,0.41701
3,2,0.48707,0.48535,0.48559,0.4841,0.48707,0.48707,0.48707
3,3,0.43915,0.5,0.21958,0.30515,0.43915,0.43915,0.43915
3,4,0.52296,0.48628,0.4752,0.43691,0.52296,0.52296,0.52296
3,5,0.53954,0.49765,0.27046,0.35046,0.53954,0.53954,0.53954
3,6,0.52729,0.49765,0.49153,0.40016,0.52729,0.52729,0.52729
3,7,0.54446,0.5012,0.50303,0.43137,0.54446,0.54446,0.54446
3,8,0.52222,0.49474,0.26257,0.34307,0.52222,0.52222,0.52222
3,9,0.41142,0.49969,0.45563,0.29267,0.41142,0.41142,0.41142
4,0,0.82499,0.67048,0.51391,0.48439,0.82499,0.82499,0.82499
4,1,0.99146,0.54272,0.58045,0.55555,0.99146,0.99146,0.99146
4,2,0.50233,0.65715,0.51328,0.36353,0.50233,0.50233,0.50233
4,3,0.99206,0.5,0.49603,0.49801,0.99206,0.99206,0.99206
4,4,0.18518,0.54467,0.50822,0.16947,0.18518,0.18518,0.18518
4,5,0.03316,0.50132,0.51535,0.0324,0.03316,0.03316,0.03316
4,6,0.10181,0.5286,0.51147,0.0999,0.10181,0.10181,0.10181
4,7,0.14364,0.55666,0.5192,0.13876,0.14364,0.14364,0.14364
4,8,0.02778,0.50284,0.51117,0.02751,0.02778,0.02778,0.02778
4,9,0.9916,0.49915,0.49664,0.49789,0.9916,0.9916,0.9916
5,0,0.5,0.47911,0.46403,0.4271,0.5,0.5,0.5
5,1,0.51597,0.49974,0.48033,0.34309,0.51597,0.51597,0.51597
5,2,0.48186,0.48274,0.48286,0.4813,0.48186,0.48186,0.48186
5,3,0.54762,0.5,0.27381,0.35385,0.54762,0.54762,0.54762
5,4,0.45343,0.49279,0.48699,0.40762,0.45343,0.45343,0.45343
5,5,0.44388,0.49971,0.47187,0.30936,0.44388,0.44388,0.44388
5,6,0.42798,0.49277,0.47436,0.34851,0.42798,0.42798,0.42798
5,7,0.44049,0.4911,0.47755,0.37415,0.44049,0.44049,0.44049
5,8,0.40556,0.49324,0.20391,0.28854,0.40556,0.40556,0.40556
5,9,0.50966,0.50003,0.50484,0.33912,0.50966,0.50966,0.50966
6,0,0.8212,0.58433,0.50638,0.47102,0.8212,0.8212,0.8212
6,1,0.99146,0.52976,0.55276,0.53785,0.99146,0.99146,0.99146
6,2,0.49749,0.64646,0.50859,0.35213,0.49749,0.49749,0.49749
6,3,0.98942,0.5,0.49471,0.49734,0.98942,0.98942,0.98942
6,4,0.18037,0.54929,0.50696,0.1631,0.18037,0.18037,0.18037
6,5,0.02551,0.50131,0.51151,0.0251,0.02551,0.02551,0.02551
6,6,0.09393,0.52468,0.50722,0.0913,0.09393,0.09393,0.09393
6,7,0.14364,0.55666,0.5192,0.13876,0.14364,0.14364,0.14364
6,8,0.01667,0.50281,0.50559,0.01664,0.01667,0.01667,0.01667
6,9,0.99076,0.49915,0.49622,0.49768,0.99076,0.99076,0.99076
7,0,0.49301,0.47593,0.45848,0.42182,0.49301,0.49301,0.49301
7,1,0.50706,0.49931,0.44817,0.33879,0.50706,0.50706,0.50706
7,2,0.47367,0.47446,0.47463,0.47317,0.47367,0.47367,0.47367
7,3,0.54233,0.5,0.27116,0.35163,0.54233,0.54233,0.54233
7,4,0.44666,0.48932,0.48078,0.40207,0.44666,0.44666,0.44666
7,5,0.4477,0.49973,0.47379,0.31121,0.4477,0.4477,0.4477
7,6,0.42423,0.49155,0.47012,0.34581,0.42423,0.42423,0.42423
7,7,0.4446,0.49636,0.49082,0.37936,0.4446,0.4446,0.4446
7,8,0.41111,0.49333,0.2067,0.29134,0.41111,0.41111,0.41111
7,9,0.50126,0.5,0.50063,0.33538,0.50126,0.50126,0.50126
8,0,0.8244,0.41232,0.49982,0.45188,0.8244,0.8244,0.8244
8,1,0.99647,0.66509,0.52759,0.54674,0.99647,0.99647,0.99647
8,2,0.48874,0.54432,0.50016,0.32925,0.48874,0.48874,0.48874
8,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,4,0.16353,0.58168,0.50013,0.14067,0.16353,0.16353,0.16353
8,5,0.00383,0.50128,0.50064,0.00382,0.00383,0.00383,0.00383
8,6,0.07515,0.53724,0.50039,0.07009,0.07515,0.07515,0.07515
8,7,0.11081,0.55479,0.50077,0.1003,0.11081,0.11081,0.11081
8,8,0.00556,0.00278,0.5,0.00552,0.00556,0.00556,0.00556
8,9,0.99832,0.49916,0.5,0.49958,0.99832,0.99832,0.99832
9,0,0.24199,0.49289,0.4953,0.23843,0.24199,0.24199,0.24199
9,1,0.10899,0.49992,0.49763,0.09942,0.10899,0.10899,0.10899
9,2,0.50549,0.49201,0.49671,0.41408,0.50549,0.50549,0.50549
9,3,0.12037,0.5,0.06019,0.10744,0.12037,0.12037,0.12037
9,4,0.75251,0.4869,0.4901,0.48655,0.75251,0.75251,0.75251
9,5,0.88648,0.49857,0.44437,0.46991,0.88648,0.88648,0.88648
9,6,0.8141,0.49351,0.48952,0.48816,0.8141,0.8141,0.8141
9,7,0.8249,0.53174,0.52892,0.53009,0.8249,0.8249,0.8249
9,8,0.88333,0.49687,0.44413,0.46903,0.88333,0.88333,0.88333
9,9,0.10915,0.50094,0.55383,0.09907,0.10915,0.10915,0.10915
10,0,0.8244,0.57908,0.50048,0.45351,0.8244,0.8244,0.8244
10,1,0.99647,0.66509,0.52759,0.54674,0.99647,0.99647,0.99647
10,2,0.48912,0.64441,0.50054,0.32974,0.48912,0.48912,0.48912
10,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,4,0.16353,0.58168,0.50013,0.14067,0.16353,0.16353,0.16353
10,5,0.00383,0.50128,0.50064,0.00382,0.00383,0.00383,0.00383
10,6,0.07586,0.53727,0.50077,0.07091,0.07586,0.07586,0.07586
10,7,0.11218,0.55487,0.50154,0.10195,0.11218,0.11218,0.11218
10,8,0.00556,0.00278,0.5,0.00552,0.00556,0.00556,0.00556
10,9,0.99832,0.49916,0.5,0.49958,0.99832,0.99832,0.99832
11,0,0.17618,0.48763,0.49988,0.1505,0.17618,0.17618,0.17618
11,1,0.00557,0.50167,0.50112,0.00557,0.00557,0.00557,0.00557
11,2,0.51144,0.50573,0.50003,0.33974,0.51144,0.51144,0.51144
11,3,0.00132,0.5,0.00066,0.00132,0.00132,0.00132,0.00132
11,4,0.83625,0.60603,0.50135,0.45935,0.83625,0.83625,0.83625
11,5,0.99617,0.49872,0.49936,0.49904,0.99617,0.99617,0.99617
11,6,0.92288,0.46268,0.49855,0.47995,0.92288,0.92288,0.92288
11,7,0.88782,0.44513,0.49846,0.47029,0.88782,0.88782,0.88782
11,8,0.98889,0.49721,0.49721,0.49721,0.98889,0.98889,0.98889
11,9,0.00336,0.50084,0.50084,0.00336,0.00336,0.00336,0.00336
12,0,0.8244,0.57908,0.50048,0.45351,0.8244,0.8244,0.8244
12,1,0.99647,0.49833,0.49991,0.49912,0.99647,0.99647,0.99647
12,2,0.48912,0.64441,0.50054,0.32974,0.48912,0.48912,0.48912
12,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
12,4,0.16353,0.58168,0.50013,0.14067,0.16353,0.16353,0.16353
12,5,0.00383,0.50128,0.50064,0.00382,0.00383,0.00383,0.00383
12,6,0.07568,0.53726,0.50068,0.07071,0.07568,0.07568,0.07568
12,7,0.11081,0.55479,0.50077,0.1003,0.11081,0.11081,0.11081
12,8,0.00556,0.00278,0.5,0.00552,0.00556,0.00556,0.00556
12,9,0.99832,0.49916,0.5,0.49958,0.99832,0.99832,0.99832
13,0,0.17531,0.08765,0.5,0.14916,0.17531,0.17531,0.17531
13,1,0.00371,0.50167,0.50019,0.0037,0.00371,0.00371,0.00371
13,2,0.51144,0.25572,0.5,0.33838,0.51144,0.51144,0.51144
13,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,4,0.8369,0.91843,0.50067,0.45693,0.8369,0.8369,0.8369
13,5,0.99745,0.49872,0.5,0.49936,0.99745,0.99745,0.99745
13,6,0.92539,0.46278,0.4999,0.48062,0.92539,0.92539,0.92539
13,7,0.89056,0.44528,0.5,0.47106,0.89056,0.89056,0.89056
13,8,0.99444,0.49722,0.5,0.49861,0.99444,0.99444,0.99444
13,9,0.00168,0.00084,0.5,0.00168,0.00168,0.00168,0.00168
14,0,0.8244,0.41232,0.49982,0.45188,0.8244,0.8244,0.8244
14,1,0.99666,0.49833,0.5,0.49916,0.99666,0.99666,0.99666
14,2,0.48912,0.64441,0.50054,0.32974,0.48912,0.48912,0.48912
14,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
14,4,0.16353,0.58168,0.50013,0.14067,0.16353,0.16353,0.16353
14,5,0.00383,0.50128,0.50064,0.00382,0.00383,0.00383,0.00383
14,6,0.07551,0.53726,0.50058,0.0705,0.07551,0.07551,0.07551
14,7,0.11081,0.55479,0.50077,0.1003,0.11081,0.11081,0.11081
14,8,0.00556,0.00278,0.5,0.00552,0.00556,0.00556,0.00556
14,9,0.99832,0.49916,0.5,0.49958,0.99832,0.99832,0.99832
15,0,0.17531,0.08765,0.5,0.14916,0.17531,0.17531,0.17531
15,1,0.00371,0.50167,0.50019,0.0037,0.00371,0.00371,0.00371
15,2,0.51144,0.25572,0.5,0.33838,0.51144,0.51144,0.51144
15,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,4,0.8369,0.91843,0.50067,0.45693,0.8369,0.8369,0.8369
15,5,0.99745,0.49872,0.5,0.49936,0.99745,0.99745,0.99745
15,6,0.92539,0.46278,0.4999,0.48062,0.92539,0.92539,0.92539
15,7,0.89056,0.44528,0.5,0.47106,0.89056,0.89056,0.89056
15,8,0.99444,0.49722,0.5,0.49861,0.99444,0.99444,0.99444
15,9,0.00168,0.00084,0.5,0.00168,0.00168,0.00168,0.00168
16,0,0.8244,0.57908,0.50048,0.45351,0.8244,0.8244,0.8244
16,1,0.99647,0.66509,0.52759,0.54674,0.99647,0.99647,0.99647
