round,comm_costs
1,117640
2,117640
3,117640
4,117640
5,117640
6,117640
7,117640
8,117640
9,117640
10,117640
11,117640
12,117640
13,117640
14,117640
15,117640
16,117640
17,117640
18,117640
19,117640
20,117640
21,117640
22,117640
23,117640
24,117640
25,117640
26,117640
27,117640
28,117640
29,117640
30,117640
31,117640
32,117640
33,117640
34,117640
35,117640
36,117640
37,117640
38,117640
39,117640
40,117640
41,117640
42,117640
43,117640
44,117640
45,117640
46,117640
47,117640
48,117640
49,117640
50,176460
