round,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0.49921,0.58292,0.50007,0.33324,0.49921,0.49921,0.49921
2,0.48586,0.48563,0.48577,0.48452,0.48586,0.48586,0.48586
3,0.50086,0.25043,0.5,0.33371,0.50086,0.50086,0.50086
4,0.50464,0.66548,0.50549,0.34747,0.50464,0.50464,0.50464
5,0.494,0.49355,0.49382,0.48842,0.494,0.494,0.494
6,0.50971,0.64567,0.51054,0.36237,0.50971,0.50971,0.50971
7,0.49286,0.49271,0.49277,0.49164,0.49286,0.49286,0.49286
8,0.494,0.4936,0.49428,0.48029,0.494,0.494,0.494
9,0.50086,0.50044,0.50006,0.36043,0.50086,0.50086,0.50086
10,0.49964,0.60264,0.5005,0.33469,0.49964,0.49964,0.49964
11,0.50071,0.43789,0.49986,0.33403,0.50071,0.50071,0.50071
12,0.49936,0.60677,0.50021,0.33368,0.49936,0.49936,0.49936
13,0.50071,0.37539,0.49986,0.33378,0.50071,0.50071,0.50071
14,0.4995,0.6133,0.50036,0.33412,0.4995,0.4995,0.4995
15,0.50843,0.51354,0.50787,0.45066,0.50843,0.50843,0.50843
16,0.50157,0.64185,0.50242,0.33993,0.50157,0.50157,0.50157
17,0.50871,0.51102,0.50829,0.47604,0.50871,0.50871,0.50871
18,0.50479,0.62366,0.50562,0.35029,0.50479,0.50479,0.50479
19,0.5035,0.5338,0.50268,0.35434,0.5035,0.5035,0.5035
20,0.49943,0.57107,0.50028,0.33422,0.49943,0.49943,0.49943
21,0.50357,0.52695,0.50276,0.35927,0.50357,0.50357,0.50357
22,0.50179,0.63829,0.50263,0.34065,0.50179,0.50179,0.50179
23,0.51143,0.51581,0.51186,0.47909,0.51143,0.51143,0.51143
24,0.50871,0.51195,0.50913,0.47811,0.50871,0.50871,0.50871
25,0.50607,0.50817,0.50559,0.46342,0.50607,0.50607,0.50607
26,0.50086,0.64286,0.50171,0.33787,0.50086,0.50086,0.50086
27,0.50207,0.52926,0.50123,0.34456,0.50207,0.50207,0.50207
28,0.4995,0.6133,0.50036,0.33412,0.4995,0.4995,0.4995
29,0.5005,0.44599,0.49965,0.3347,0.5005,0.5005,0.5005
30,0.501,0.63545,0.50185,0.33843,0.501,0.501,0.501
31,0.50236,0.52919,0.50152,0.3471,0.50236,0.50236,0.50236
32,0.50007,0.6298,0.50093,0.33576,0.50007,0.50007,0.50007
33,0.50064,0.49112,0.4998,0.33852,0.50064,0.50064,0.50064
34,0.4995,0.6133,0.50036,0.33412,0.4995,0.4995,0.4995
35,0.50064,0.41704,0.49979,0.334,0.50064,0.50064,0.50064
36,0.4995,0.6133,0.50036,0.33412,0.4995,0.4995,0.4995
37,0.50071,0.25039,0.49986,0.33365,0.50071,0.50071,0.50071
38,0.50114,0.62507,0.50199,0.33912,0.50114,0.50114,0.50114
39,0.50157,0.50647,0.50077,0.36003,0.50157,0.50157,0.50157
40,0.50521,0.66583,0.50606,0.34894,0.50521,0.50521,0.50521
41,0.50114,0.50117,0.50049,0.41569,0.50114,0.50114,0.50114
42,0.506,0.6513,0.50684,0.35182,0.506,0.506,0.506
43,0.49921,0.49863,0.49886,0.47697,0.49921,0.49921,0.49921
44,0.50893,0.52289,0.50958,0.42587,0.50893,0.50893,0.50893
45,0.49793,0.49762,0.49774,0.49151,0.49793,0.49793,0.49793
46,0.50743,0.63846,0.50826,0.35674,0.50743,0.50743,0.50743
47,0.501,0.5008,0.5007,0.48547,0.501,0.501,0.501
48,0.50986,0.53003,0.51055,0.41546,0.50986,0.50986,0.50986
49,0.50329,0.50323,0.50319,0.50161,0.50329,0.50329,0.50329
50,0.50536,0.50535,0.50534,0.50532,0.50536,0.50536,0.50536
