round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.52014,0.591,0.5209,0.40623,0.52014,0.52014,0.52014
1,1,0.50114,0.60945,0.50199,0.33961,0.50114,0.50114,0.50114
1,2,0.50007,0.50015,0.50015,0.49899,0.50007,0.50007,0.50007
1,3,0.49914,0.24957,0.5,0.33295,0.49914,0.49914,0.49914
1,4,0.5,0.49565,0.49922,0.37019,0.5,0.5,0.5
1,5,0.49929,0.74961,0.50014,0.33327,0.49929,0.49929,0.49929
1,6,0.501,0.50528,0.50016,0.34041,0.501,0.501,0.501
1,7,0.49929,0.74961,0.50014,0.33327,0.49929,0.49929,0.49929
1,8,0.49914,0.24957,0.5,0.33295,0.49914,0.49914,0.49914
1,9,0.49929,0.74961,0.50014,0.33327,0.49929,0.49929,0.49929
2,0,0.49786,0.49751,0.49836,0.4516,0.49786,0.49786,0.49786
2,1,0.49921,0.5353,0.50007,0.33349,0.49921,0.49921,0.49921
2,2,0.49529,0.49528,0.49528,0.49528,0.49529,0.49529,0.49529
2,3,0.49929,0.74961,0.50014,0.33327,0.49929,0.49929,0.49929
2,4,0.50064,0.49957,0.4999,0.38339,0.50064,0.50064,0.50064
2,5,0.50086,0.25043,0.5,0.33371,0.50086,0.50086,0.50086
2,6,0.49807,0.49503,0.49747,0.42745,0.49807,0.49807,0.49807
2,7,0.50086,0.25043,0.5,0.33371,0.50086,0.50086,0.50086
2,8,0.50086,0.25043,0.5,0.33371,0.50086,0.50086,0.50086
2,9,0.49929,0.74961,0.50014,0.33327,0.49929,0.49929,0.49929
3,0,0.48929,0.48422,0.4898,0.44009,0.48929,0.48929,0.48929
3,1,0.49914,0.49957,0.5,0.33308,0.49914,0.49914,0.49914
3,2,0.48229,0.48226,0.48227,0.48222,0.48229,0.48229,0.48229
3,3,0.49929,0.74961,0.50014,0.33327,0.49929,0.49929,0.49929
3,4,0.501,0.50149,0.5002,0.36312,0.501,0.501,0.501
3,5,0.50086,0.25043,0.5,0.33371,0.50086,0.50086,0.50086
3,6,0.50093,0.51968,0.50007,0.33463,0.50093,0.50093,0.50093
3,7,0.49936,0.49466,0.49862,0.38491,0.49936,0.49936,0.49936
3,8,0.50086,0.25043,0.5,0.33371,0.50086,0.50086,0.50086
3,9,0.49929,0.74961,0.50014,0.33327,0.49929,0.49929,0.49929
4,0,0.50536,0.51291,0.50598,0.42916,0.50536,0.50536,0.50536
4,1,0.51007,0.66651,0.5109,0.3614,0.51007,0.51007,0.51007
4,2,0.49264,0.49028,0.49226,0.46524,0.49264,0.49264,0.49264
4,3,0.49929,0.74961,0.50014,0.33327,0.49929,0.49929,0.49929
4,4,0.49121,0.49053,0.49102,0.4844,0.49121,0.49121,0.49121
4,5,0.50079,0.25041,0.49993,0.33368,0.50079,0.50079,0.50079
4,6,0.50186,0.5172,0.50103,0.34805,0.50186,0.50186,0.50186
4,7,0.50093,0.50483,0.50008,0.3374,0.50093,0.50093,0.50093
4,8,0.50086,0.25043,0.5,0.33371,0.50086,0.50086,0.50086
4,9,0.49929,0.74961,0.50014,0.33327,0.49929,0.49929,0.49929
5,0,0.50357,0.5082,0.50417,0.43446,0.50357,0.50357,0.50357
5,1,0.49957,0.59343,0.50043,0.33453,0.49957,0.49957,0.49957
5,2,0.4945,0.49448,0.49465,0.49079,0.4945,0.4945,0.4945
5,3,0.49986,0.63864,0.50071,0.33504,0.49986,0.49986,0.49986
5,4,0.49843,0.49462,0.49777,0.4119,0.49843,0.49843,0.49843
5,5,0.50086,0.25043,0.5,0.33371,0.50086,0.50086,0.50086
5,6,0.50086,0.50043,0.5,0.33511,0.50086,0.50086,0.50086
