round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.81013,0.58499,0.52518,0.51545,0.81013,0.81013,0.81013
1,1,0.9948,0.56994,0.55444,0.5612,0.9948,0.9948,0.9948
1,2,0.50437,0.50534,0.50531,0.50395,0.50437,0.50437,0.50437
1,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,4,0.80914,0.49895,0.4997,0.47902,0.80914,0.80914,0.80914
1,5,0.00255,0.00128,0.5,0.00254,0.00255,0.00255,0.00255
1,6,0.92074,0.49501,0.4996,0.48383,0.92074,0.92074,0.92074
1,7,0.10944,0.05472,0.5,0.09864,0.10944,0.10944,0.10944
1,8,0.00556,0.00278,0.5,0.00552,0.00556,0.00556,0.00556
1,9,0.99832,0.49916,0.5,0.49958,0.99832,0.99832,0.99832
2,0,0.68957,0.50213,0.50245,0.50129,0.68957,0.68957,0.68957
2,1,0.99647,0.66509,0.52759,0.54674,0.99647,0.99647,0.99647
2,2,0.50121,0.50097,0.50097,0.50097,0.50121,0.50121,0.50121
2,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,4,0.79537,0.49361,0.49739,0.48271,0.79537,0.79537,0.79537
2,5,0.99745,0.49872,0.5,0.49936,0.99745,0.99745,0.99745
2,6,0.7971,0.49833,0.49692,0.49071,0.7971,0.7971,0.7971
2,7,0.89056,0.44528,0.5,0.47106,0.89056,0.89056,0.89056
2,8,0.99444,0.49722,0.5,0.49861,0.99444,0.99444,0.99444
2,9,0.99832,0.49916,0.5,0.49958,0.99832,0.99832,0.99832
3,0,0.68375,0.49567,0.49499,0.49426,0.68375,0.68375,0.68375
3,1,0.99666,0.49833,0.5,0.49916,0.99666,0.99666,0.99666
3,2,0.488,0.48752,0.48754,0.48749,0.488,0.488,0.488
3,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,4,0.81788,0.51294,0.50277,0.47897,0.81788,0.81788,0.81788
3,5,0.99745,0.49872,0.5,0.49936,0.99745,0.99745,0.99745
3,6,0.92432,0.46274,0.49932,0.48033,0.92432,0.92432,0.92432
3,7,0.84679,0.53062,0.51928,0.52052,0.84679,0.84679,0.84679
3,8,0.99444,0.49722,0.5,0.49861,0.99444,0.99444,0.99444
3,9,0.99832,0.49916,0.5,0.49958,0.99832,0.99832,0.99832
4,0,0.74752,0.52079,0.51665,0.51677,0.74752,0.74752,0.74752
4,1,0.99202,0.54699,0.58073,0.55922,0.99202,0.99202,0.99202
4,2,0.49953,0.49281,0.49431,0.469,0.49953,0.49953,0.49953
4,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,4,0.57127,0.49428,0.49007,0.46205,0.57127,0.57127,0.57127
4,5,0.99745,0.49872,0.5,0.49936,0.99745,0.99745,0.99745
4,6,0.91233,0.49243,0.49837,0.48706,0.91233,0.91233,0.91233
4,7,0.88782,0.57067,0.50395,0.48215,0.88782,0.88782,0.88782
4,8,0.99444,0.49722,0.5,0.49861,0.99444,0.99444,0.99444
4,9,0.99832,0.49916,0.5,0.49958,0.99832,0.99832,0.99832
5,0,0.73588,0.51543,0.51351,0.51374,0.73588,0.73588,0.73588
5,1,0.99629,0.66518,0.55518,0.5824,0.99629,0.99629,0.99629
5,2,0.50251,0.50433,0.50424,0.50048,0.50251,0.50251,0.50251
5,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,4,0.75885,0.49151,0.49389,0.49,0.75885,0.75885,0.75885
5,5,0.99745,0.49872,0.5,0.49936,0.99745,0.99745,0.99745
5,6,0.9236,0.46271,0.49894,0.48014,0.9236,0.9236,0.9236
5,7,0.81669,0.52486,0.52431,0.52457,0.81669,0.81669,0.81669
5,8,0.99444,0.49722,0.5,0.49861,0.99444,0.99444,0.99444
5,9,0.99748,0.49916,0.49958,0.49937,0.99748,0.99748,0.99748
6,0,0.67501,0.50485,0.50605,0.50254,0.67501,0.67501,0.67501
6,1,0.9961,0.59842,0.52741,0.5425,0.9961,0.9961,0.9961
6,2,0.5027,0.49899,0.49909,0.48809,0.5027,0.5027,0.5027
6,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,4,0.75033,0.49474,0.4958,0.49384,0.75033,0.75033,0.75033
6,5,0.99745,0.49872,0.5,0.49936,0.99745,0.99745,0.99745
6,6,0.92217,0.48654,0.49927,0.48204,0.92217,0.92217,0.92217
6,7,0.87962,0.57185,0.51578,0.50946,0.87962,0.87962,0.87962
6,8,0.99444,0.49722,0.5,0.49861,0.99444,0.99444,0.99444
6,9,0.99832,0.49916,0.5,0.49958,0.99832,0.99832,0.99832
7,0,0.73384,0.51033,0.50901,0.50892,0.73384,0.73384,0.73384
7,1,0.9961,0.64137,0.55509,0.57902,0.9961,0.9961,0.9961
7,2,0.49767,0.50639,0.50427,0.45604,0.49767,0.49767,0.49767
7,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,4,0.82401,0.49136,0.49889,0.46609,0.82401,0.82401,0.82401
7,5,0.99745,0.49872,0.5,0.49936,0.99745,0.99745,0.99745
7,6,0.92253,0.48906,0.49946,0.48215,0.92253,0.92253,0.92253
7,7,0.89056,0.44528,0.5,0.47106,0.89056,0.89056,0.89056
7,8,0.99444,0.49722,0.5,0.49861,0.99444,0.99444,0.99444
7,9,0.99832,0.49916,0.5,0.49958,0.99832,0.99832,0.99832
8,0,0.69977,0.49889,0.49882,0.49864,0.69977,0.69977,0.69977
8,1,0.99647,0.66509,0.52759,0.54674,0.99647,0.99647,0.99647
8,2,0.49953,0.50088,0.50087,0.49844,0.49953,0.49953,0.49953
8,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,4,0.82619,0.48057,0.49804,0.46219,0.82619,0.82619,0.82619
8,5,0.99745,0.49872,0.5,0.49936,0.99745,0.99745,0.99745
8,6,0.92271,0.46268,0.49845,0.4799,0.92271,0.92271,0.92271
8,7,0.88646,0.44505,0.4977,0.46991,0.88646,0.88646,0.88646
8,8,0.99444,0.49722,0.5,0.49861,0.99444,0.99444,0.99444
8,9,0.99832,0.49916,0.5,0.49958,0.99832,0.99832,0.99832
9,0,0.80314,0.55203,0.51637,0.50336,0.80314,0.80314,0.80314
9,1,0.9961,0.64137,0.55509,0.57902,0.9961,0.9961,0.9961
9,2,0.512,0.52362,0.51773,0.48256,0.512,0.512,0.512
9,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,4,0.77416,0.50481,0.50304,0.49855,0.77416,0.77416,0.77416
9,5,0.99745,0.49872,0.5,0.49936,0.99745,0.99745,0.99745
9,6,0.92521,0.46277,0.49981,0.48058,0.92521,0.92521,0.92521
9,7,0.88646,0.44505,0.4977,0.46991,0.88646,0.88646,0.88646
9,8,0.99444,0.49722,0.5,0.49861,0.99444,0.99444,0.99444
9,9,0.99832,0.49916,0.5,0.49958,0.99832,0.99832,0.99832
10,0,0.81596,0.57023,0.51105,0.48557,0.81596,0.81596,0.81596
10,1,0.99647,0.66509,0.52759,0.54674,0.99647,0.99647,0.99647
10,2,0.52019,0.52103,0.52095,0.51996,0.52019,0.52019,0.52019
10,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
