round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.82469,0.41235,0.5,0.45196,0.82469,0.82469,0.82469
1,1,0.99666,0.49833,0.5,0.49916,0.99666,0.99666,0.99666
1,2,0.48856,0.24428,0.5,0.32821,0.48856,0.48856,0.48856
1,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,4,0.16331,0.08166,0.5,0.14039,0.16331,0.16331,0.16331
1,5,0.00255,0.00128,0.5,0.00254,0.00255,0.00255,0.00255
1,6,0.07443,0.03722,0.5,0.06928,0.07443,0.07443,0.07443
1,7,0.10944,0.05472,0.5,0.09864,0.10944,0.10944,0.10944
1,8,0.00556,0.00278,0.5,0.00552,0.00556,0.00556,0.00556
1,9,0.99832,0.49916,0.5,0.49958,0.99832,0.99832,0.99832
2,0,0.8244,0.41232,0.49982,0.45188,0.8244,0.8244,0.8244
2,1,0.99666,0.49833,0.5,0.49916,0.99666,0.99666,0.99666
2,2,0.48893,0.61937,0.50036,0.32934,0.48893,0.48893,0.48893
2,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,4,0.16353,0.58168,0.50013,0.14067,0.16353,0.16353,0.16353
2,5,0.00383,0.50128,0.50064,0.00382,0.00383,0.00383,0.00383
2,6,0.07497,0.53724,0.50029,0.06989,0.07497,0.07497,0.07497
2,7,0.10944,0.05472,0.5,0.09864,0.10944,0.10944,0.10944
2,8,0.00556,0.00278,0.5,0.00552,0.00556,0.00556,0.00556
2,9,0.99832,0.49916,0.5,0.49958,0.99832,0.99832,0.99832
3,0,0.4537,0.4859,0.47585,0.40904,0.4537,0.4537,0.4537
3,1,0.43817,0.49958,0.46898,0.30718,0.43817,0.43817,0.43817
3,2,0.49507,0.49373,0.4938,0.49281,0.49507,0.49507,0.49507
3,3,0.45503,0.5,0.22751,0.31273,0.45503,0.45503,0.45503
3,4,0.52755,0.49437,0.4898,0.44489,0.52755,0.52755,0.52755
3,5,0.51913,0.5001,0.50959,0.3441,0.51913,0.51913,0.51913
3,6,0.52746,0.49952,0.49826,0.40175,0.52746,0.52746,0.52746
3,7,0.53899,0.50429,0.51093,0.43138,0.53899,0.53899,0.53899
3,8,0.51667,0.49468,0.25978,0.34066,0.51667,0.51667,0.51667
3,9,0.42485,0.49974,0.46236,0.29939,0.42485,0.42485,0.42485
4,0,0.17531,0.08765,0.5,0.14916,0.17531,0.17531,0.17531
4,1,0.00334,0.00167,0.5,0.00333,0.00334,0.00334,0.00334
4,2,0.51144,0.25572,0.5,0.33838,0.51144,0.51144,0.51144
4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4,0.83669,0.41834,0.5,0.45554,0.83669,0.83669,0.83669
4,5,0.99745,0.49872,0.5,0.49936,0.99745,0.99745,0.99745
4,6,0.92557,0.46278,0.5,0.48067,0.92557,0.92557,0.92557
4,7,0.89056,0.44528,0.5,0.47106,0.89056,0.89056,0.89056
4,8,0.99444,0.49722,0.5,0.49861,0.99444,0.99444,0.99444
4,9,0.00168,0.00084,0.5,0.00168,0.00168,0.00168,0.00168
5,0,0.82557,0.70749,0.50707,0.46823,0.82557,0.82557,0.82557
5,1,0.99462,0.56518,0.55434,0.55926,0.99462,0.99462,0.99462
5,2,0.49414,0.65868,0.50539,0.3427,0.49414,0.49414,0.49414
5,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,4,0.17293,0.56147,0.50467,0.15316,0.17293,0.17293,0.17293
5,5,0.01276,0.50129,0.50512,0.0127,0.01276,0.01276,0.01276
5,6,0.0857,0.52987,0.50498,0.08208,0.0857,0.0857,0.0857
5,7,0.12859,0.55579,0.51075,0.12143,0.12859,0.12859,0.12859
5,8,0.01111,0.50279,0.50279,0.01111,0.01111,0.01111,0.01111
5,9,0.99748,0.49916,0.49958,0.49937,0.99748,0.99748,0.99748
6,0,0.42632,0.49082,0.48476,0.39579,0.42632,0.42632,0.42632
6,1,0.39751,0.49928,0.44858,0.28668,0.39751,0.39751,0.39751
6,2,0.50586,0.50359,0.50343,0.49891,0.50586,0.50586,0.50586
6,3,0.41667,0.5,0.20833,0.29412,0.41667,0.41667,0.41667
6,4,0.56668,0.49459,0.49056,0.46066,0.56668,0.56668,0.56668
6,5,0.58546,0.50045,0.54284,0.37212,0.58546,0.58546,0.58546
6,6,0.57703,0.50052,0.50182,0.42396,0.57703,0.57703,0.57703
6,7,0.59371,0.5103,0.5252,0.45975,0.59371,0.59371,0.59371
6,8,0.56667,0.49515,0.28492,0.3617,0.56667,0.56667,0.56667
6,9,0.38707,0.4996,0.44344,0.28015,0.38707,0.38707,0.38707
7,0,0.82324,0.62314,0.50762,0.47186,0.82324,0.82324,0.82324
7,1,0.99053,0.52553,0.5523,0.53398,0.99053,0.99053,0.99053
7,2,0.49953,0.64017,0.51054,0.3581,0.49953,0.49953,0.49953
7,3,0.99339,0.5,0.49669,0.49834,0.99339,0.99339,0.99339
7,4,0.18168,0.53048,0.50505,0.16529,0.18168,0.18168,0.18168
7,5,0.02551,0.50131,0.51151,0.0251,0.02551,0.02551,0.02551
7,6,0.09769,0.52684,0.50925,0.09542,0.09769,0.09769,0.09769
7,7,0.14227,0.55658,0.51843,0.13721,0.14227,0.14227,0.14227
7,8,0.02222,0.4,0.01117,0.02174,0.02222,0.02222,0.02222
7,9,0.99076,0.49915,0.49622,0.49768,0.99076,0.99076,0.99076
8,0,0.4604,0.48981,0.48253,0.41475,0.4604,0.4604,0.4604
8,1,0.44541,0.49963,0.47262,0.31071,0.44541,0.44541,0.44541
8,2,0.50158,0.50035,0.50034,0.49943,0.50158,0.50158,0.50158
8,3,0.46032,0.5,0.23016,0.31522,0.46032,0.46032,0.46032
8,4,0.52973,0.49717,0.49487,0.4479,0.52973,0.52973,0.52973
8,5,0.52423,0.50012,0.51215,0.34634,0.52423,0.52423,0.52423
8,6,0.52979,0.5014,0.50504,0.40433,0.52979,0.52979,0.52979
8,7,0.5472,0.50828,0.52102,0.43818,0.5472,0.5472,0.5472
8,8,0.51667,0.49468,0.25978,0.34066,0.51667,0.51667,0.51667
8,9,0.42905,0.49976,0.46447,0.30147,0.42905,0.42905,0.42905
9,0,0.59144,0.49156,0.48677,0.47091,0.59144,0.59144,0.59144
9,1,0.65782,0.50076,0.55149,0.40092,0.65782,0.65782,0.65782
9,2,0.49637,0.49995,0.49995,0.48554,0.49637,0.49637,0.49637
9,3,0.6627,0.5,0.33135,0.39857,0.6627,0.6627,0.6627
9,4,0.39834,0.50547,0.50901,0.37856,0.39834,0.39834,0.39834
9,5,0.33163,0.49903,0.4156,0.25046,0.33163,0.33163,0.33163
9,6,0.35552,0.50048,0.50153,0.31058,0.35552,0.35552,0.35552
9,7,0.38304,0.50958,0.52204,0.34863,0.38304,0.38304,0.38304
9,8,0.32222,0.49153,0.16201,0.2437,0.32222,0.32222,0.32222
9,9,0.6356,0.50049,0.56791,0.39078,0.6356,0.6356,0.6356
10,0,0.19773,0.50522,0.50117,0.18126,0.19773,0.19773,0.19773
10,1,0.03973,0.49911,0.49057,0.03866,0.03973,0.03973,0.03973
10,2,0.51163,0.50755,0.50085,0.36335,0.51163,0.51163,0.51163
10,3,0.03836,0.5,0.01918,0.03694,0.03836,0.03836,0.03836
10,4,0.81941,0.51568,0.50315,0.47861,0.81941,0.81941,0.81941
10,5,0.97577,0.4987,0.48913,0.49387,0.97577,0.97577,0.97577
10,6,0.89569,0.49399,0.49712,0.49219,0.89569,0.89569,0.89569
10,7,0.87825,0.57891,0.5205,0.51786,0.87825,0.87825,0.87825
10,8,0.94444,0.49708,0.47486,0.48571,0.94444,0.94444,0.94444
10,9,0.03778,0.50087,0.51808,0.03664,0.03778,0.03778,0.03778
11,0,0.8244,0.41232,0.49982,0.45188,0.8244,0.8244,0.8244
11,1,0.9961,0.64137,0.55509,0.57902,0.9961,0.9961,0.9961
11,2,0.48949,0.60814,0.50088,0.33118,0.48949,0.48949,0.48949
11,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11,4,0.1631,0.24816,0.49879,0.14035,0.1631,0.1631,0.1631
11,5,0.00383,0.50128,0.50064,0.00382,0.00383,0.00383,0.00383
11,6,0.07604,0.53728,0.50087,0.07112,0.07604,0.07604,0.07604
11,7,0.11218,0.55487,0.50154,0.10195,0.11218,0.11218,0.11218
11,8,0.01111,0.50279,0.50279,0.01111,0.01111,0.01111,0.01111
11,9,0.99832,0.49916,0.5,0.49958,0.99832,0.99832,0.99832
12,0,0.1756,0.42092,0.49952,0.14973,0.1756,0.1756,0.1756
12,1,0.0039,0.50167,0.50028,0.00389,0.0039,0.0039,0.0039
12,2,0.51181,0.75582,0.50038,0.33922,0.51181,0.51181,0.51181
12,3,0.00132,0.5,0.00066,0.00132,0.00132,0.00132,0.00132
12,4,0.8369,0.91843,0.50067,0.45693,0.8369,0.8369,0.8369
12,5,0.99745,0.49872,0.5,0.49936,0.99745,0.99745,0.99745
12,6,0.92449,0.46274,0.49942,0.48038,0.92449,0.92449,0.92449
12,7,0.88919,0.44521,0.49923,0.47067,0.88919,0.88919,0.88919
12,8,0.99444,0.49722,0.5,0.49861,0.99444,0.99444,0.99444
12,9,0.00168,0.00084,0.5,0.00168,0.00168,0.00168,0.00168
13,0,0.8244,0.41232,0.49982,0.45188,0.8244,0.8244,0.8244
13,1,0.99647,0.66509,0.52759,0.54674,0.99647,0.99647,0.99647
13,2,0.48893,0.5777,0.50035,0.32966,0.48893,0.48893,0.48893
13,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
13,4,0.16353,0.58168,0.50013,0.14067,0.16353,0.16353,0.16353
13,5,0.00383,0.50128,0.50064,0.00382,0.00383,0.00383,0.00383
13,6,0.07551,0.53726,0.50058,0.0705,0.07551,0.07551,0.07551
13,7,0.11081,0.55479,0.50077,0.1003,0.11081,0.11081,0.11081
13,8,0.00556,0.00278,0.5,0.00552,0.00556,0.00556,0.00556
13,9,0.99832,0.49916,0.5,0.49958,0.99832,0.99832,0.99832
14,0,0.17531,0.33756,0.49935,0.14934,0.17531,0.17531,0.17531
14,1,0.0039,0.50167,0.50028,0.00389,0.0039,0.0039,0.0039
14,2,0.51163,0.75577,0.50019,0.3388,0.51163,0.51163,0.51163
14,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,4,0.8369,0.91843,0.50067,0.45693,0.8369,0.8369,0.8369
14,5,0.99745,0.49872,0.5,0.49936,0.99745,0.99745,0.99745
14,6,0.92503,0.46276,0.49971,0.48053,0.92503,0.92503,0.92503
14,7,0.88919,0.44521,0.49923,0.47067,0.88919,0.88919,0.88919
14,8,0.99444,0.49722,0.5,0.49861,0.99444,0.99444,0.99444
14,9,0.00168,0.00084,0.5,0.00168,0.00168,0.00168,0.00168
15,0,0.82469,0.66244,0.50065,0.4536,0.82469,0.82469,0.82469
15,1,0.99647,0.66509,0.52759,0.54674,0.99647,0.99647,0.99647
15,2,0.4893,0.61946,0.50071,0.33046,0.4893,0.4893,0.4893
15,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
15,4,0.16353,0.58168,0.50013,0.14067,0.16353,0.16353,0.16353
15,5,0.00383,0.50128,0.50064,0.00382,0.00383,0.00383,0.00383
15,6,0.07586,0.53727,0.50077,0.07091,0.07586,0.07586,0.07586
15,7,0.11218,0.55487,0.50154,0.10195,0.11218,0.11218,0.11218
15,8,0.00556,0.00278,0.5,0.00552,0.00556,0.00556,0.00556
15,9,0.99832,0.49916,0.5,0.49958,0.99832,0.99832,0.99832
16,0,0.29237,0.49408,0.4938,0.29229,0.29237,0.29237,0.29237
16,1,0.19272,0.50026,0.51195,0.16342,0.19272,0.19272,0.19272
