round,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0.50043,0.64052,0.50128,0.33668,0.50043,0.50043,0.50043
2,0.46971,0.46953,0.46966,0.46912,0.46971,0.46971,0.46971
3,0.50936,0.67826,0.51019,0.35874,0.50936,0.50936,0.50936
4,0.46057,0.46013,0.46067,0.4588,0.46057,0.46057,0.46057
5,0.49986,0.60392,0.50071,0.33542,0.49986,0.49986,0.49986
6,0.43543,0.43289,0.4356,0.42978,0.43543,0.43543,0.43543
7,0.49936,0.60677,0.50021,0.33368,0.49936,0.49936,0.49936
8,0.46686,0.45695,0.46728,0.43311,0.46686,0.46686,0.46686
9,0.49936,0.58296,0.50021,0.33381,0.49936,0.49936,0.49936
10,0.50071,0.37539,0.49986,0.33378,0.50071,0.50071,0.50071
11,0.49929,0.74961,0.50014,0.33327,0.49929,0.49929,0.49929
12,0.50086,0.25043,0.5,0.33371,0.50086,0.50086,0.50086
13,0.49929,0.74961,0.50014,0.33327,0.49929,0.49929,0.49929
14,0.50086,0.25043,0.5,0.33371,0.50086,0.50086,0.50086
15,0.49929,0.74961,0.50014,0.33327,0.49929,0.49929,0.49929
16,0.50086,0.25043,0.5,0.33371,0.50086,0.50086,0.50086
17,0.49929,0.74961,0.50014,0.33327,0.49929,0.49929,0.49929
18,0.50079,0.25041,0.49993,0.33368,0.50079,0.50079,0.50079
19,0.49929,0.74961,0.50014,0.33327,0.49929,0.49929,0.49929
20,0.50086,0.25043,0.5,0.33371,0.50086,0.50086,0.50086
21,0.49929,0.74961,0.50014,0.33327,0.49929,0.49929,0.49929
22,0.50086,0.25043,0.5,0.33371,0.50086,0.50086,0.50086
23,0.49929,0.74961,0.50014,0.33327,0.49929,0.49929,0.49929
24,0.50071,0.25039,0.49986,0.33365,0.50071,0.50071,0.50071
25,0.49929,0.74961,0.50014,0.33327,0.49929,0.49929,0.49929
26,0.50071,0.25039,0.49986,0.33365,0.50071,0.50071,0.50071
27,0.49929,0.74961,0.50014,0.33327,0.49929,0.49929,0.49929
28,0.50086,0.25043,0.5,0.33371,0.50086,0.50086,0.50086
29,0.49929,0.74961,0.50014,0.33327,0.49929,0.49929,0.49929
30,0.50071,0.25039,0.49986,0.33365,0.50071,0.50071,0.50071
31,0.49929,0.74961,0.50014,0.33327,0.49929,0.49929,0.49929
32,0.50079,0.25041,0.49993,0.33368,0.50079,0.50079,0.50079
33,0.49929,0.74961,0.50014,0.33327,0.49929,0.49929,0.49929
34,0.50079,0.25041,0.49993,0.33368,0.50079,0.50079,0.50079
35,0.49929,0.74961,0.50014,0.33327,0.49929,0.49929,0.49929
36,0.50071,0.25039,0.49986,0.33365,0.50071,0.50071,0.50071
37,0.49929,0.74961,0.50014,0.33327,0.49929,0.49929,0.49929
38,0.50071,0.25039,0.49986,0.33365,0.50071,0.50071,0.50071
39,0.49929,0.62461,0.50014,0.3334,0.49929,0.49929,0.49929
40,0.50086,0.25043,0.5,0.33371,0.50086,0.50086,0.50086
41,0.49929,0.62461,0.50014,0.3334,0.49929,0.49929,0.49929
42,0.50071,0.25039,0.49986,0.33365,0.50071,0.50071,0.50071
43,0.49929,0.74961,0.50014,0.33327,0.49929,0.49929,0.49929
44,0.50079,0.41708,0.49993,0.33381,0.50079,0.50079,0.50079
45,0.49929,0.74961,0.50014,0.33327,0.49929,0.49929,0.49929
46,0.50071,0.25039,0.49986,0.33365,0.50071,0.50071,0.50071
47,0.49929,0.62461,0.50014,0.3334,0.49929,0.49929,0.49929
48,0.50079,0.25041,0.49993,0.33368,0.50079,0.50079,0.50079
49,0.49929,0.62461,0.50014,0.3334,0.49929,0.49929,0.49929
50,0.501,0.54213,0.50014,0.33467,0.501,0.501,0.501
