round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.49521,0.48988,0.49587,0.40794,0.49521,0.49521,0.49521
1,1,0.50271,0.66939,0.50356,0.34231,0.50271,0.50271,0.50271
1,2,0.47786,0.47765,0.47779,0.47701,0.47786,0.47786,0.47786
1,3,0.49914,0.24957,0.5,0.33295,0.49914,0.49914,0.49914
1,4,0.49429,0.48548,0.49364,0.41117,0.49429,0.49429,0.49429
1,5,0.49914,0.24957,0.5,0.33295,0.49914,0.49914,0.49914
1,6,0.49693,0.48441,0.49618,0.37928,0.49693,0.49693,0.49693
1,7,0.49914,0.24957,0.5,0.33295,0.49914,0.49914,0.49914
1,8,0.49914,0.24957,0.5,0.33295,0.49914,0.49914,0.49914
1,9,0.49914,0.24957,0.5,0.33295,0.49914,0.49914,0.49914
2,0,0.48014,0.47663,0.48049,0.45793,0.48014,0.48014,0.48014
2,1,0.49929,0.58294,0.50014,0.33352,0.49929,0.49929,0.49929
2,2,0.47743,0.47598,0.47723,0.47044,0.47743,0.47743,0.47743
2,3,0.507,0.68489,0.50784,0.35254,0.507,0.507,0.507
2,4,0.49086,0.48013,0.49025,0.41622,0.49086,0.49086,0.49086
2,5,0.50086,0.25043,0.5,0.33371,0.50086,0.50086,0.50086
2,6,0.49871,0.48344,0.49791,0.35791,0.49871,0.49871,0.49871
2,7,0.50086,0.25043,0.5,0.33371,0.50086,0.50086,0.50086
2,8,0.50086,0.25043,0.5,0.33371,0.50086,0.50086,0.50086
2,9,0.50893,0.67769,0.50976,0.35771,0.50893,0.50893,0.50893
3,0,0.47386,0.45521,0.47442,0.41105,0.47386,0.47386,0.47386
3,1,0.50186,0.66404,0.50271,0.34019,0.50186,0.50186,0.50186
3,2,0.48607,0.47375,0.4855,0.42095,0.48607,0.48607,0.48607
3,3,0.49929,0.62461,0.50014,0.3334,0.49929,0.49929,0.49929
3,4,0.48171,0.47347,0.48125,0.44045,0.48171,0.48171,0.48171
3,5,0.50086,0.25043,0.5,0.33371,0.50086,0.50086,0.50086
3,6,0.49936,0.48261,0.49854,0.35,0.49936,0.49936,0.49936
3,7,0.49386,0.47437,0.49312,0.37997,0.49386,0.49386,0.49386
3,8,0.50086,0.25043,0.5,0.33371,0.50086,0.50086,0.50086
3,9,0.49929,0.62461,0.50014,0.3334,0.49929,0.49929,0.49929
4,0,0.45871,0.41689,0.45933,0.37994,0.45871,0.45871,0.45871
4,1,0.49936,0.51707,0.50021,0.33594,0.49936,0.49936,0.49936
4,2,0.46014,0.46014,0.46014,0.46014,0.46014,0.46014,0.46014
4,3,0.49929,0.56211,0.50014,0.33365,0.49929,0.49929,0.49929
4,4,0.49421,0.46846,0.49345,0.36867,0.49421,0.49421,0.49421
4,5,0.50086,0.25043,0.5,0.33371,0.50086,0.50086,0.50086
4,6,0.48164,0.4678,0.48109,0.42165,0.48164,0.48164,0.48164
4,7,0.50064,0.25038,0.49979,0.33362,0.50064,0.50064,0.50064
4,8,0.50086,0.25043,0.5,0.33371,0.50086,0.50086,0.50086
4,9,0.50336,0.66636,0.5042,0.34407,0.50336,0.50336,0.50336
5,0,0.49936,0.60677,0.50021,0.33368,0.49936,0.49936,0.49936
5,1,0.49936,0.60677,0.50021,0.33368,0.49936,0.49936,0.49936
5,2,0.46229,0.45058,0.46271,0.42739,0.46229,0.46229,0.46229
5,3,0.49929,0.74961,0.50014,0.33327,0.49929,0.49929,0.49929
5,4,0.47693,0.44135,0.47627,0.38499,0.47693,0.47693,0.47693
5,5,0.50086,0.25043,0.5,0.33371,0.50086,0.50086,0.50086
5,6,0.50064,0.4726,0.49979,0.33514,0.50064,0.50064,0.50064
5,7,0.48714,0.4601,0.48645,0.38524,0.48714,0.48714,0.48714
5,8,0.50086,0.25043,0.5,0.33371,0.50086,0.50086,0.50086
5,9,0.49929,0.74961,0.50014,0.33327,0.49929,0.49929,0.49929
6,0,0.49929,0.54127,0.50014,0.3339,0.49929,0.49929,0.49929
6,1,0.49929,0.74961,0.50014,0.33327,0.49929,0.49929,0.49929
6,2,0.46614,0.46118,0.46585,0.44945,0.46614,0.46614,0.46614
6,3,0.49936,0.60677,0.50021,0.33368,0.49936,0.49936,0.49936
6,4,0.50071,0.46914,0.49986,0.33454,0.50071,0.50071,0.50071
6,5,0.50086,0.25043,0.5,0.33371,0.50086,0.50086,0.50086
