round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.7516,0.50117,0.50081,0.49706,0.7516,0.7516,0.7516
1,1,0.99573,0.56985,0.52722,0.53893,0.99573,0.99573,0.99573
1,2,0.4934,0.49255,0.49258,0.49228,0.4934,0.4934,0.4934
1,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,4,0.74661,0.48872,0.49088,0.48857,0.74661,0.74661,0.74661
1,5,0.00255,0.00128,0.5,0.00254,0.00255,0.00255,0.00255
1,6,0.86742,0.50069,0.50064,0.5006,0.86742,0.86742,0.86742
1,7,0.10944,0.05472,0.5,0.09864,0.10944,0.10944,0.10944
1,8,0.00556,0.00278,0.5,0.00552,0.00556,0.00556,0.00556
1,9,0.99832,0.49916,0.5,0.49958,0.99832,0.99832,0.99832
2,0,0.61706,0.49046,0.48595,0.47702,0.61706,0.61706,0.61706
2,1,0.99647,0.49833,0.49991,0.49912,0.99647,0.99647,0.99647
2,2,0.4867,0.48326,0.48411,0.47865,0.4867,0.4867,0.4867
2,3,0.99735,0.5,0.49868,0.49934,0.99735,0.99735,0.99735
2,4,0.73546,0.49085,0.49176,0.49096,0.73546,0.73546,0.73546
2,5,0.99745,0.49872,0.5,0.49936,0.99745,0.99745,0.99745
2,6,0.8939,0.49236,0.49616,0.49137,0.8939,0.8939,0.8939
2,7,0.89056,0.44528,0.5,0.47106,0.89056,0.89056,0.89056
2,8,0.99444,0.49722,0.5,0.49861,0.99444,0.99444,0.99444
2,9,0.9958,0.49916,0.49874,0.49895,0.9958,0.9958,0.9958
3,0,0.68725,0.47965,0.47814,0.47869,0.68725,0.68725,0.68725
3,1,0.99592,0.58175,0.52731,0.54064,0.99592,0.99592,0.99592
3,2,0.49842,0.48365,0.49083,0.43159,0.49842,0.49842,0.49842
3,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,4,0.66222,0.48158,0.47547,0.47467,0.66222,0.66222,0.66222
3,5,0.99745,0.49872,0.5,0.49936,0.99745,0.99745,0.99745
3,6,0.90642,0.48773,0.49629,0.48664,0.90642,0.90642,0.90642
3,7,0.84542,0.53603,0.52399,0.52625,0.84542,0.84542,0.84542
3,8,0.99444,0.49722,0.5,0.49861,0.99444,0.99444,0.99444
3,9,0.99832,0.49916,0.5,0.49958,0.99832,0.99832,0.99832
4,0,0.69394,0.45973,0.46128,0.46046,0.69394,0.69394,0.69394
4,1,0.9935,0.52473,0.5261,0.5254,0.9935,0.9935,0.9935
4,2,0.47349,0.4734,0.47339,0.47337,0.47349,0.47349,0.47349
4,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,4,0.79362,0.46886,0.48827,0.4682,0.79362,0.79362,0.79362
4,5,0.99745,0.49872,0.5,0.49936,0.99745,0.99745,0.99745
4,6,0.75327,0.49268,0.48318,0.47412,0.75327,0.75327,0.75327
4,7,0.89056,0.44528,0.5,0.47106,0.89056,0.89056,0.89056
4,8,0.99444,0.49722,0.5,0.49861,0.99444,0.99444,0.99444
4,9,0.99748,0.49916,0.49958,0.49937,0.99748,0.99748,0.99748
5,0,0.8244,0.41232,0.49982,0.45188,0.8244,0.8244,0.8244
5,1,0.99629,0.62342,0.5275,0.54452,0.99629,0.99629,0.99629
5,2,0.46121,0.45609,0.46686,0.4293,0.46121,0.46121,0.46121
5,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,4,0.73481,0.47101,0.47575,0.47264,0.73481,0.73481,0.73481
5,5,0.99745,0.49872,0.5,0.49936,0.99745,0.99745,0.99745
5,6,0.92324,0.4627,0.49874,0.48004,0.92324,0.92324,0.92324
5,7,0.82627,0.52192,0.51872,0.51974,0.82627,0.82627,0.82627
5,8,0.99444,0.49722,0.5,0.49861,0.99444,0.99444,0.99444
5,9,0.99832,0.49916,0.5,0.49958,0.99832,0.99832,0.99832
6,0,0.82411,0.4123,0.49965,0.45179,0.82411,0.82411,0.82411
6,1,0.99666,0.49833,0.5,0.49916,0.99666,0.99666,0.99666
6,2,0.48149,0.47516,0.47776,0.46534,0.48149,0.48149,0.48149
6,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,4,0.83669,0.66849,0.50108,0.45818,0.83669,0.83669,0.83669
6,5,0.99745,0.49872,0.5,0.49936,0.99745,0.99745,0.99745
6,6,0.91787,0.4625,0.49584,0.47859,0.91787,0.91787,0.91787
6,7,0.88646,0.44505,0.4977,0.46991,0.88646,0.88646,0.88646
6,8,0.99444,0.49722,0.5,0.49861,0.99444,0.99444,0.99444
6,9,0.99832,0.49916,0.5,0.49958,0.99832,0.99832,0.99832
7,0,0.8244,0.41232,0.49982,0.45188,0.8244,0.8244,0.8244
7,1,0.99629,0.62342,0.5275,0.54452,0.99629,0.99629,0.99629
7,2,0.49879,0.47724,0.49016,0.40981,0.49879,0.49879,0.49879
7,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,4,0.83669,0.41834,0.5,0.45554,0.83669,0.83669,0.83669
7,5,0.99745,0.49872,0.5,0.49936,0.99745,0.99745,0.99745
7,6,0.81249,0.48449,0.47539,0.47756,0.81249,0.81249,0.81249
7,7,0.89056,0.44528,0.5,0.47106,0.89056,0.89056,0.89056
7,8,0.99444,0.49722,0.5,0.49861,0.99444,0.99444,0.99444
7,9,0.99832,0.49916,0.5,0.49958,0.99832,0.99832,0.99832
8,0,0.8244,0.41232,0.49982,0.45188,0.8244,0.8244,0.8244
8,1,0.99666,0.49833,0.5,0.49916,0.99666,0.99666,0.99666
8,2,0.5053,0.48485,0.49564,0.39083,0.5053,0.5053,0.5053
8,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,4,0.50437,0.48889,0.47972,0.43074,0.50437,0.50437,0.50437
8,5,0.99745,0.49872,0.5,0.49936,0.99745,0.99745,0.99745
8,6,0.92557,0.46278,0.5,0.48067,0.92557,0.92557,0.92557
8,7,0.89056,0.44528,0.5,0.47106,0.89056,0.89056,0.89056
8,8,0.99444,0.49722,0.5,0.49861,0.99444,0.99444,0.99444
8,9,0.99832,0.49916,0.5,0.49958,0.99832,0.99832,0.99832
9,0,0.8244,0.41232,0.49982,0.45188,0.8244,0.8244,0.8244
9,1,0.99666,0.49833,0.5,0.49916,0.99666,0.99666,0.99666
9,2,0.48912,0.56259,0.50051,0.3307,0.48912,0.48912,0.48912
9,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,4,0.81548,0.48837,0.49756,0.47049,0.81548,0.81548,0.81548
9,5,0.99745,0.49872,0.5,0.49936,0.99745,0.99745,0.99745
9,6,0.92557,0.46278,0.5,0.48067,0.92557,0.92557,0.92557
9,7,0.87551,0.44444,0.49155,0.46681,0.87551,0.87551,0.87551
9,8,0.99444,0.49722,0.5,0.49861,0.99444,0.99444,0.99444
9,9,0.99832,0.49916,0.5,0.49958,0.99832,0.99832,0.99832
10,0,0.8244,0.41232,0.49982,0.45188,0.8244,0.8244,0.8244
10,1,0.99666,0.49833,0.5,0.49916,0.99666,0.99666,0.99666
10,2,0.53693,0.54939,0.52972,0.48146,0.53693,0.53693,0.53693
10,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,4,0.8369,0.91843,0.50067,0.45693,0.8369,0.8369,0.8369
10,5,0.99745,0.49872,0.5,0.49936,0.99745,0.99745,0.99745
