round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.82469,0.41235,0.5,0.45196,0.82469,0.82469,0.82469
1,1,0.99666,0.49833,0.5,0.49916,0.99666,0.99666,0.99666
1,2,0.48856,0.24428,0.5,0.32821,0.48856,0.48856,0.48856
1,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,4,0.16331,0.08166,0.5,0.14039,0.16331,0.16331,0.16331
1,5,0.00255,0.00128,0.5,0.00254,0.00255,0.00255,0.00255
1,6,0.07443,0.03722,0.5,0.06928,0.07443,0.07443,0.07443
1,7,0.10944,0.05472,0.5,0.09864,0.10944,0.10944,0.10944
1,8,0.00556,0.00278,0.5,0.00552,0.00556,0.00556,0.00556
1,9,0.99832,0.49916,0.5,0.49958,0.99832,0.99832,0.99832
2,0,0.82528,0.72537,0.50362,0.46026,0.82528,0.82528,0.82528
2,1,0.99629,0.49833,0.49981,0.49907,0.99629,0.99629,0.99629
2,2,0.48912,0.57774,0.50052,0.33038,0.48912,0.48912,0.48912
2,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,4,0.16594,0.58187,0.50157,0.14383,0.16594,0.16594,0.16594
2,5,0.00383,0.50128,0.50064,0.00382,0.00383,0.00383,0.00383
2,6,0.07819,0.53736,0.50203,0.07356,0.07819,0.07819,0.07819
2,7,0.11491,0.55502,0.50307,0.10524,0.11491,0.11491,0.11491
2,8,0.00556,0.00278,0.5,0.00552,0.00556,0.00556,0.00556
2,9,0.99832,0.49916,0.5,0.49958,0.99832,0.99832,0.99832
3,0,0.45282,0.47916,0.4642,0.40485,0.45282,0.45282,0.45282
3,1,0.44059,0.4996,0.47019,0.30836,0.44059,0.44059,0.44059
3,2,0.48093,0.4801,0.48017,0.47992,0.48093,0.48093,0.48093
3,3,0.46825,0.5,0.23413,0.31892,0.46825,0.46825,0.46825
3,4,0.50306,0.48846,0.47893,0.42985,0.50306,0.50306,0.50306
3,5,0.50893,0.49751,0.25512,0.33728,0.50893,0.50893,0.50893
3,6,0.49884,0.49465,0.48058,0.38483,0.49884,0.49884,0.49884
3,7,0.513,0.49643,0.49085,0.41357,0.513,0.513,0.513
3,8,0.48889,0.49438,0.24581,0.32836,0.48889,0.48889,0.48889
3,9,0.43661,0.49978,0.46825,0.30517,0.43661,0.43661,0.43661
4,0,0.82528,0.68059,0.51082,0.47721,0.82528,0.82528,0.82528
4,1,0.99239,0.53554,0.55323,0.54253,0.99239,0.99239,0.99239
4,2,0.49991,0.66465,0.51097,0.35685,0.49991,0.49991,0.49991
4,3,0.99735,0.5,0.49868,0.49934,0.99735,0.99735,0.99735
4,4,0.1808,0.56545,0.50884,0.16333,0.1808,0.1808,0.1808
4,5,0.02551,0.50131,0.51151,0.0251,0.02551,0.02551,0.02551
4,6,0.09644,0.53002,0.50968,0.09402,0.09644,0.09644,0.09644
4,7,0.13406,0.5561,0.51382,0.12779,0.13406,0.13406,0.13406
4,8,0.02222,0.50282,0.50838,0.0221,0.02222,0.02222,0.02222
4,9,0.9958,0.49916,0.49874,0.49895,0.9958,0.9958,0.9958
5,0,0.49592,0.47271,0.45306,0.42076,0.49592,0.49592,0.49592
5,1,0.51355,0.49972,0.47911,0.34202,0.51355,0.51355,0.51355
5,2,0.46828,0.46911,0.4694,0.4675,0.46828,0.46828,0.46828
5,3,0.54762,0.5,0.27381,0.35385,0.54762,0.54762,0.54762
5,4,0.43616,0.48635,0.47559,0.39471,0.43616,0.43616,0.43616
5,5,0.41964,0.49958,0.45972,0.29742,0.41964,0.41964,0.41964
5,6,0.40884,0.48908,0.46181,0.33619,0.40884,0.40884,0.40884
5,7,0.43365,0.49606,0.49016,0.37321,0.43365,0.43365,0.43365
5,8,0.38333,0.49286,0.19274,0.27711,0.38333,0.38333,0.38333
5,9,0.50966,0.50003,0.50484,0.33912,0.50966,0.50966,0.50966
6,0,0.82499,0.69847,0.50279,0.45856,0.82499,0.82499,0.82499
6,1,0.99629,0.62342,0.5275,0.54452,0.99629,0.99629,0.99629
6,2,0.48893,0.53603,0.50032,0.33061,0.48893,0.48893,0.48893
6,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,4,0.16484,0.58178,0.50091,0.1424,0.16484,0.16484,0.16484
6,5,0.0051,0.50128,0.50128,0.0051,0.0051,0.0051,0.0051
6,6,0.07765,0.53734,0.50174,0.07295,0.07765,0.07765,0.07765
6,7,0.11491,0.55502,0.50307,0.10524,0.11491,0.11491,0.11491
6,8,0.00556,0.00278,0.5,0.00552,0.00556,0.00556,0.00556
6,9,0.99832,0.49916,0.5,0.49958,0.99832,0.99832,0.99832
7,0,0.49913,0.45979,0.43145,0.41229,0.49913,0.49913,0.49913
7,1,0.53323,0.49948,0.4613,0.35029,0.53323,0.53323,0.53323
7,2,0.44037,0.44031,0.44259,0.43612,0.44037,0.44037,0.44037
7,3,0.56349,0.5,0.28175,0.36041,0.56349,0.56349,0.56349
7,4,0.38478,0.47325,0.45458,0.35849,0.38478,0.38478,0.38478
7,5,0.36607,0.49926,0.43286,0.26954,0.36607,0.36607,0.36607
7,6,0.35856,0.48228,0.44128,0.30467,0.35856,0.35856,0.35856
7,7,0.38577,0.48919,0.47424,0.34227,0.38577,0.38577,0.38577
7,8,0.36111,0.49242,0.18156,0.26531,0.36111,0.36111,0.36111
7,9,0.5382,0.50013,0.51913,0.35154,0.5382,0.5382,0.5382
8,0,0.8244,0.41232,0.49982,0.45188,0.8244,0.8244,0.8244
8,1,0.99647,0.66509,0.52759,0.54674,0.99647,0.99647,0.99647
8,2,0.48874,0.54432,0.50016,0.32925,0.48874,0.48874,0.48874
8,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,4,0.16353,0.58168,0.50013,0.14067,0.16353,0.16353,0.16353
8,5,0.00383,0.50128,0.50064,0.00382,0.00383,0.00383,0.00383
8,6,0.07515,0.53724,0.50039,0.07009,0.07515,0.07515,0.07515
8,7,0.11081,0.55479,0.50077,0.1003,0.11081,0.11081,0.11081
8,8,0.00556,0.00278,0.5,0.00552,0.00556,0.00556,0.00556
8,9,0.99832,0.49916,0.5,0.49958,0.99832,0.99832,0.99832
9,0,0.62697,0.47514,0.4658,0.46462,0.62697,0.62697,0.62697
9,1,0.70683,0.49989,0.49302,0.41717,0.70683,0.70683,0.70683
9,2,0.46828,0.46528,0.47401,0.43594,0.46828,0.46828,0.46828
9,3,0.69577,0.5,0.34788,0.4103,0.69577,0.69577,0.69577
9,4,0.31045,0.48298,0.4775,0.30671,0.31045,0.31045,0.31045
9,5,0.24872,0.49828,0.37404,0.20026,0.24872,0.24872,0.24872
9,6,0.2598,0.48855,0.47082,0.2421,0.2598,0.2598,0.2598
9,7,0.29001,0.49553,0.49174,0.27859,0.29001,0.29001,0.29001
9,8,0.25,0.50368,0.62291,0.20461,0.25,0.25,0.25
9,9,0.69605,0.4988,0.34861,0.4104,0.69605,0.69605,0.69605
10,0,0.8244,0.57908,0.50048,0.45351,0.8244,0.8244,0.8244
10,1,0.99629,0.62342,0.5275,0.54452,0.99629,0.99629,0.99629
10,2,0.48874,0.53003,0.50016,0.32957,0.48874,0.48874,0.48874
10,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,4,0.16353,0.58168,0.50013,0.14067,0.16353,0.16353,0.16353
10,5,0.00383,0.50128,0.50064,0.00382,0.00383,0.00383,0.00383
10,6,0.07586,0.53727,0.50077,0.07091,0.07586,0.07586,0.07586
10,7,0.11218,0.55487,0.50154,0.10195,0.11218,0.11218,0.11218
10,8,0.00556,0.00278,0.5,0.00552,0.00556,0.00556,0.00556
10,9,0.99832,0.49916,0.5,0.49958,0.99832,0.99832,0.99832
11,0,0.1756,0.42092,0.49952,0.14973,0.1756,0.1756,0.1756
11,1,0.0039,0.50167,0.50028,0.00389,0.0039,0.0039,0.0039
11,2,0.51126,0.42234,0.49983,0.33864,0.51126,0.51126,0.51126
11,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,4,0.8369,0.91843,0.50067,0.45693,0.8369,0.8369,0.8369
11,5,0.99745,0.49872,0.5,0.49936,0.99745,0.99745,0.99745
11,6,0.92485,0.46276,0.49961,0.48048,0.92485,0.92485,0.92485
11,7,0.89056,0.44528,0.5,0.47106,0.89056,0.89056,0.89056
11,8,0.99444,0.49722,0.5,0.49861,0.99444,0.99444,0.99444
11,9,0.00252,0.50084,0.50042,0.00252,0.00252,0.00252,0.00252
12,0,0.8244,0.41232,0.49982,0.45188,0.8244,0.8244,0.8244
12,1,0.99666,0.49833,0.5,0.49916,0.99666,0.99666,0.99666
12,2,0.48856,0.49428,0.49999,0.32853,0.48856,0.48856,0.48856
12,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
12,4,0.16331,0.08166,0.5,0.14039,0.16331,0.16331,0.16331
12,5,0.00255,0.00128,0.5,0.00254,0.00255,0.00255,0.00255
12,6,0.07479,0.53723,0.50019,0.06969,0.07479,0.07479,0.07479
12,7,0.10944,0.05472,0.5,0.09864,0.10944,0.10944,0.10944
12,8,0.00556,0.00278,0.5,0.00552,0.00556,0.00556,0.00556
12,9,0.99832,0.49916,0.5,0.49958,0.99832,0.99832,0.99832
13,0,0.17531,0.08765,0.5,0.14916,0.17531,0.17531,0.17531
13,1,0.00334,0.00167,0.5,0.00333,0.00334,0.00334,0.00334
13,2,0.51144,0.25572,0.5,0.33838,0.51144,0.51144,0.51144
13,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,4,0.83669,0.41834,0.5,0.45554,0.83669,0.83669,0.83669
13,5,0.99745,0.49872,0.5,0.49936,0.99745,0.99745,0.99745
13,6,0.92557,0.46278,0.5,0.48067,0.92557,0.92557,0.92557
13,7,0.89056,0.44528,0.5,0.47106,0.89056,0.89056,0.89056
13,8,0.99444,0.49722,0.5,0.49861,0.99444,0.99444,0.99444
13,9,0.00168,0.00084,0.5,0.00168,0.00168,0.00168,0.00168
14,0,0.8244,0.41232,0.49982,0.45188,0.8244,0.8244,0.8244
14,1,0.99666,0.49833,0.5,0.49916,0.99666,0.99666,0.99666
14,2,0.48856,0.49428,0.49999,0.32853,0.48856,0.48856,0.48856
14,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
14,4,0.16331,0.08166,0.5,0.14039,0.16331,0.16331,0.16331
14,5,0.00255,0.00128,0.5,0.00254,0.00255,0.00255,0.00255
14,6,0.07479,0.53723,0.50019,0.06969,0.07479,0.07479,0.07479
14,7,0.10944,0.05472,0.5,0.09864,0.10944,0.10944,0.10944
14,8,0.00556,0.00278,0.5,0.00552,0.00556,0.00556,0.00556
14,9,0.99832,0.49916,0.5,0.49958,0.99832,0.99832,0.99832
15,0,0.17531,0.08765,0.5,0.14916,0.17531,0.17531,0.17531
15,1,0.00334,0.00167,0.5,0.00333,0.00334,0.00334,0.00334
15,2,0.51144,0.25572,0.5,0.33838,0.51144,0.51144,0.51144
15,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,4,0.83669,0.41834,0.5,0.45554,0.83669,0.83669,0.83669
15,5,0.99745,0.49872,0.5,0.49936,0.99745,0.99745,0.99745
15,6,0.92557,0.46278,0.5,0.48067,0.92557,0.92557,0.92557
15,7,0.89056,0.44528,0.5,0.47106,0.89056,0.89056,0.89056
15,8,0.99444,0.49722,0.5,0.49861,0.99444,0.99444,0.99444
15,9,0.00168,0.00084,0.5,0.00168,0.00168,0.00168,0.00168
16,0,0.8244,0.41232,0.49982,0.45188,0.8244,0.8244,0.8244
16,1,0.99666,0.49833,0.5,0.49916,0.99666,0.99666,0.99666
16,2,0.48874,0.57766,0.50017,0.32893,0.48874,0.48874,0.48874
