round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.3,0.15,0.5,0.23077,0.3,0.3,0.3
1,1,0.44444,0.22222,0.5,0.30769,0.44444,0.44444,0.44444
1,2,0.33333,0.16667,0.5,0.25,0.33333,0.33333,0.33333
1,3,0.22222,0.11111,0.5,0.18182,0.22222,0.22222,0.22222
1,4,0.44444,0.22222,0.5,0.30769,0.44444,0.44444,0.44444
1,5,0.44444,0.22222,0.5,0.30769,0.44444,0.44444,0.44444
1,6,0.66667,0.33333,0.5,0.4,0.66667,0.66667,0.66667
1,7,0.22222,0.11111,0.5,0.18182,0.22222,0.22222,0.22222
1,8,0.33333,0.16667,0.5,0.25,0.33333,0.33333,0.33333
1,9,0.33333,0.16667,0.5,0.25,0.33333,0.33333,0.33333
2,0,0.4,0.66667,0.57143,0.375,0.4,0.4,0.4
2,1,0.44444,0.22222,0.5,0.30769,0.44444,0.44444,0.44444
2,2,0.33333,0.16667,0.5,0.25,0.33333,0.33333,0.33333
2,3,0.22222,0.11111,0.5,0.18182,0.22222,0.22222,0.22222
2,4,0.44444,0.22222,0.5,0.30769,0.44444,0.44444,0.44444
2,5,0.44444,0.22222,0.5,0.30769,0.44444,0.44444,0.44444
2,6,0.66667,0.33333,0.5,0.4,0.66667,0.66667,0.66667
2,7,0.22222,0.11111,0.5,0.18182,0.22222,0.22222,0.22222
2,8,0.33333,0.16667,0.5,0.25,0.33333,0.33333,0.33333
2,9,0.44444,0.6875,0.58333,0.41558,0.44444,0.44444,0.44444
3,0,0.8,0.8,0.85714,0.79167,0.8,0.8,0.8
3,1,0.66667,0.675,0.675,0.66667,0.66667,0.66667,0.66667
3,2,0.77778,0.8,0.83333,0.775,0.77778,0.77778,0.77778
3,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,4,0.77778,0.83333,0.8,0.775,0.77778,0.77778,0.77778
3,5,0.88889,0.91667,0.875,0.88312,0.88889,0.88889,0.88889
3,6,0.66667,0.60714,0.58333,0.58462,0.66667,0.66667,0.66667
3,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,8,0.77778,0.8,0.83333,0.775,0.77778,0.77778,0.77778
3,9,0.66667,0.65,0.66667,0.64935,0.66667,0.66667,0.66667
4,0,0.8,0.7619,0.7619,0.7619,0.8,0.8,0.8
4,1,0.77778,0.85714,0.75,0.75,0.77778,0.77778,0.77778
4,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,5,0.88889,0.91667,0.875,0.88312,0.88889,0.88889,0.88889
4,6,0.77778,0.75,0.75,0.75,0.77778,0.77778,0.77778
4,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,9,0.77778,0.875,0.66667,0.67857,0.77778,0.77778,0.77778
5,0,0.8,0.7619,0.7619,0.7619,0.8,0.8,0.8
5,1,0.77778,0.85714,0.75,0.75,0.77778,0.77778,0.77778
5,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,5,0.88889,0.91667,0.875,0.88312,0.88889,0.88889,0.88889
5,6,0.77778,0.75,0.75,0.75,0.77778,0.77778,0.77778
5,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,9,0.77778,0.875,0.66667,0.67857,0.77778,0.77778,0.77778
6,0,0.8,0.7619,0.7619,0.7619,0.8,0.8,0.8
6,1,0.77778,0.85714,0.75,0.75,0.77778,0.77778,0.77778
6,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,5,0.88889,0.91667,0.875,0.88312,0.88889,0.88889,0.88889
6,6,0.77778,0.75,0.75,0.75,0.77778,0.77778,0.77778
6,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,9,0.77778,0.875,0.66667,0.67857,0.77778,0.77778,0.77778
7,0,0.8,0.7619,0.7619,0.7619,0.8,0.8,0.8
7,1,0.77778,0.85714,0.75,0.75,0.77778,0.77778,0.77778
7,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,5,0.88889,0.91667,0.875,0.88312,0.88889,0.88889,0.88889
7,6,0.77778,0.75,0.75,0.75,0.77778,0.77778,0.77778
7,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,8,0.88889,0.875,0.91667,0.88312,0.88889,0.88889,0.88889
7,9,0.77778,0.875,0.66667,0.67857,0.77778,0.77778,0.77778
8,0,0.8,0.7619,0.7619,0.7619,0.8,0.8,0.8
8,1,0.77778,0.85714,0.75,0.75,0.77778,0.77778,0.77778
8,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,5,0.88889,0.91667,0.875,0.88312,0.88889,0.88889,0.88889
8,6,0.77778,0.75,0.75,0.75,0.77778,0.77778,0.77778
8,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,8,0.88889,0.875,0.91667,0.88312,0.88889,0.88889,0.88889
8,9,0.88889,0.92857,0.83333,0.86154,0.88889,0.88889,0.88889
9,0,0.8,0.7619,0.7619,0.7619,0.8,0.8,0.8
9,1,0.77778,0.85714,0.75,0.75,0.77778,0.77778,0.77778
9,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,5,0.88889,0.91667,0.875,0.88312,0.88889,0.88889,0.88889
9,6,0.77778,0.75,0.75,0.75,0.77778,0.77778,0.77778
9,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,8,0.88889,0.875,0.91667,0.88312,0.88889,0.88889,0.88889
9,9,0.88889,0.92857,0.83333,0.86154,0.88889,0.88889,0.88889
10,0,0.8,0.7619,0.7619,0.7619,0.8,0.8,0.8
10,1,0.77778,0.85714,0.75,0.75,0.77778,0.77778,0.77778
10,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,5,0.88889,0.91667,0.875,0.88312,0.88889,0.88889,0.88889
10,6,0.77778,0.75,0.75,0.75,0.77778,0.77778,0.77778
10,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,8,0.88889,0.875,0.91667,0.88312,0.88889,0.88889,0.88889
10,9,0.88889,0.92857,0.83333,0.86154,0.88889,0.88889,0.88889
11,0,0.8,0.7619,0.7619,0.7619,0.8,0.8,0.8
11,1,0.77778,0.85714,0.75,0.75,0.77778,0.77778,0.77778
11,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11,5,0.77778,0.85714,0.75,0.75,0.77778,0.77778,0.77778
11,6,0.77778,0.75,0.75,0.75,0.77778,0.77778,0.77778
11,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11,8,0.88889,0.875,0.91667,0.88312,0.88889,0.88889,0.88889
11,9,0.88889,0.92857,0.83333,0.86154,0.88889,0.88889,0.88889
12,0,0.8,0.7619,0.7619,0.7619,0.8,0.8,0.8
12,1,0.77778,0.85714,0.75,0.75,0.77778,0.77778,0.77778
12,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
12,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
12,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0
12,5,0.77778,0.85714,0.75,0.75,0.77778,0.77778,0.77778
12,6,0.66667,0.65,0.66667,0.64935,0.66667,0.66667,0.66667
12,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0
12,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0
12,9,0.88889,0.92857,0.83333,0.86154,0.88889,0.88889,0.88889
13,0,0.8,0.7619,0.7619,0.7619,0.8,0.8,0.8
13,1,0.77778,0.85714,0.75,0.75,0.77778,0.77778,0.77778
13,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
13,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
13,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0
13,5,0.77778,0.85714,0.75,0.75,0.77778,0.77778,0.77778
13,6,0.77778,0.75,0.75,0.75,0.77778,0.77778,0.77778
13,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0
13,8,0.88889,0.875,0.91667,0.88312,0.88889,0.88889,0.88889
13,9,0.88889,0.92857,0.83333,0.86154,0.88889,0.88889,0.88889
14,0,0.8,0.7619,0.7619,0.7619,0.8,0.8,0.8
14,1,0.77778,0.85714,0.75,0.75,0.77778,0.77778,0.77778
14,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
