round,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0.37719,0.1886,0.5,0.27389,0.37719,0.37719,0.37719
2,0.37719,0.1886,0.5,0.27389,0.37719,0.37719,0.37719
3,0.38596,0.69027,0.50704,0.28953,0.38596,0.38596,0.38596
4,0.41228,0.69545,0.52817,0.33438,0.41228,0.41228,0.41228
5,0.4386,0.70093,0.5493,0.37641,0.4386,0.4386,0.4386
6,0.58772,0.73889,0.66901,0.57594,0.58772,0.58772,0.58772
7,0.84211,0.84211,0.86407,0.83969,0.84211,0.84211,0.84211
8,0.9386,0.94122,0.92778,0.93369,0.9386,0.9386,0.9386
9,0.9386,0.94122,0.92778,0.93369,0.9386,0.9386,0.9386
10,0.9386,0.94122,0.92778,0.93369,0.9386,0.9386,0.9386
11,0.9386,0.93651,0.93236,0.93435,0.9386,0.9386,0.9386
12,0.9386,0.93651,0.93236,0.93435,0.9386,0.9386,0.9386
13,0.9386,0.93651,0.93236,0.93435,0.9386,0.9386,0.9386
14,0.9386,0.93651,0.93236,0.93435,0.9386,0.9386,0.9386
15,0.94737,0.94821,0.9394,0.94345,0.94737,0.94737,0.94737
16,0.92982,0.92124,0.93449,0.92657,0.92982,0.92982,0.92982
17,0.9386,0.93651,0.93236,0.93435,0.9386,0.9386,0.9386
18,0.9386,0.93651,0.93236,0.93435,0.9386,0.9386,0.9386
19,0.9386,0.94122,0.92778,0.93369,0.9386,0.9386,0.9386
20,0.94737,0.94399,0.94399,0.94399,0.94737,0.94737,0.94737
21,0.94737,0.94821,0.9394,0.94345,0.94737,0.94737,0.94737
22,0.9386,0.94122,0.92778,0.93369,0.9386,0.9386,0.9386
23,0.94737,0.95385,0.93482,0.94287,0.94737,0.94737,0.94737
24,0.9386,0.94122,0.92778,0.93369,0.9386,0.9386,0.9386
25,0.94737,0.94821,0.9394,0.94345,0.94737,0.94737,0.94737
26,0.94737,0.95385,0.93482,0.94287,0.94737,0.94737,0.94737
27,0.9386,0.94122,0.92778,0.93369,0.9386,0.9386,0.9386
28,0.94737,0.95385,0.93482,0.94287,0.94737,0.94737,0.94737
29,0.95614,0.95536,0.95103,0.95311,0.95614,0.95614,0.95614
30,0.95614,0.95536,0.95103,0.95311,0.95614,0.95614,0.95614
31,0.94737,0.94821,0.9394,0.94345,0.94737,0.94737,0.94737
32,0.95614,0.96047,0.94645,0.95264,0.95614,0.95614,0.95614
33,0.95614,0.96711,0.94186,0.95213,0.95614,0.95614,0.95614
34,0.95614,0.95536,0.95103,0.95311,0.95614,0.95614,0.95614
35,0.95614,0.95536,0.95103,0.95311,0.95614,0.95614,0.95614
36,0.95614,0.96047,0.94645,0.95264,0.95614,0.95614,0.95614
37,0.94737,0.94821,0.9394,0.94345,0.94737,0.94737,0.94737
38,0.95614,0.95536,0.95103,0.95311,0.95614,0.95614,0.95614
39,0.94737,0.94399,0.94399,0.94399,0.94737,0.94737,0.94737
40,0.94737,0.94399,0.94399,0.94399,0.94737,0.94737,0.94737
41,0.94737,0.94399,0.94399,0.94399,0.94737,0.94737,0.94737
42,0.94737,0.94399,0.94399,0.94399,0.94737,0.94737,0.94737
43,0.95614,0.95536,0.95103,0.95311,0.95614,0.95614,0.95614
44,0.95614,0.95536,0.95103,0.95311,0.95614,0.95614,0.95614
45,0.95614,0.95536,0.95103,0.95311,0.95614,0.95614,0.95614
46,0.96491,0.97333,0.95349,0.96191,0.96491,0.96491,0.96491
47,0.94737,0.96104,0.93023,0.94223,0.94737,0.94737,0.94737
48,0.95614,0.95536,0.95103,0.95311,0.95614,0.95614,0.95614
49,0.94737,0.94399,0.94399,0.94399,0.94737,0.94737,0.94737
50,0.94737,0.94399,0.94399,0.94399,0.94737,0.94737,0.94737
