round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.37719,0.1886,0.5,0.27389,0.37719,0.37719,0.37719
1,1,0.37719,0.1886,0.5,0.27389,0.37719,0.37719,0.37719
1,2,0.37719,0.1886,0.5,0.27389,0.37719,0.37719,0.37719
1,3,0.92982,0.93436,0.91615,0.92382,0.92982,0.92982,0.92982
1,4,0.37719,0.1886,0.5,0.27389,0.37719,0.37719,0.37719
1,5,0.37719,0.1886,0.5,0.27389,0.37719,0.37719,0.37719
1,6,0.37719,0.1886,0.5,0.27389,0.37719,0.37719,0.37719
1,7,0.37719,0.1886,0.5,0.27389,0.37719,0.37719,0.37719
1,8,0.37719,0.1886,0.5,0.27389,0.37719,0.37719,0.37719
1,9,0.37719,0.1886,0.5,0.27389,0.37719,0.37719,0.37719
2,0,0.89474,0.92771,0.86047,0.87996,0.89474,0.89474,0.89474
2,1,0.70175,0.8381,0.60465,0.57649,0.70175,0.70175,0.70175
2,2,0.62281,0.3114,0.5,0.38378,0.62281,0.62281,0.62281
2,3,0.37719,0.1886,0.5,0.27389,0.37719,0.37719,0.37719
2,4,0.90351,0.8945,0.90419,0.89863,0.90351,0.90351,0.90351
2,5,0.37719,0.1886,0.5,0.27389,0.37719,0.37719,0.37719
2,6,0.37719,0.1886,0.5,0.27389,0.37719,0.37719,0.37719
2,7,0.37719,0.1886,0.5,0.27389,0.37719,0.37719,0.37719
2,8,0.37719,0.1886,0.5,0.27389,0.37719,0.37719,0.37719
2,9,0.37719,0.1886,0.5,0.27389,0.37719,0.37719,0.37719
3,0,0.37719,0.1886,0.5,0.27389,0.37719,0.37719,0.37719
3,1,0.78947,0.87368,0.72093,0.73416,0.78947,0.78947,0.78947
3,2,0.37719,0.1886,0.5,0.27389,0.37719,0.37719,0.37719
3,3,0.37719,0.1886,0.5,0.27389,0.37719,0.37719,0.37719
3,4,0.63158,0.81416,0.51163,0.4086,0.63158,0.63158,0.63158
3,5,0.63158,0.81416,0.51163,0.4086,0.63158,0.63158,0.63158
3,6,0.39474,0.69196,0.51408,0.30482,0.39474,0.39474,0.39474
3,7,0.37719,0.1886,0.5,0.27389,0.37719,0.37719,0.37719
3,8,0.7807,0.86979,0.7093,0.72023,0.7807,0.7807,0.7807
3,9,0.41228,0.69545,0.52817,0.33438,0.41228,0.41228,0.41228
4,0,0.89474,0.92771,0.86047,0.87996,0.89474,0.89474,0.89474
4,1,0.37719,0.1886,0.5,0.27389,0.37719,0.37719,0.37719
