round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.37719,0.1886,0.5,0.27389,0.37719,0.37719,0.37719
1,1,0.62281,0.3114,0.5,0.38378,0.62281,0.62281,0.62281
1,2,0.62281,0.3114,0.5,0.38378,0.62281,0.62281,0.62281
1,3,0.62281,0.3114,0.5,0.38378,0.62281,0.62281,0.62281
1,4,0.62281,0.3114,0.5,0.38378,0.62281,0.62281,0.62281
1,5,0.62281,0.3114,0.5,0.38378,0.62281,0.62281,0.62281
1,6,0.63158,0.81416,0.51163,0.4086,0.63158,0.63158,0.63158
1,7,0.37719,0.1886,0.5,0.27389,0.37719,0.37719,0.37719
1,8,0.39474,0.69196,0.51408,0.30482,0.39474,0.39474,0.39474
1,9,0.62281,0.3114,0.5,0.38378,0.62281,0.62281,0.62281
2,0,0.62281,0.3114,0.5,0.38378,0.62281,0.62281,0.62281
2,1,0.62281,0.3114,0.5,0.38378,0.62281,0.62281,0.62281
2,2,0.62281,0.3114,0.5,0.38378,0.62281,0.62281,0.62281
2,3,0.62281,0.3114,0.5,0.38378,0.62281,0.62281,0.62281
2,4,0.62281,0.3114,0.5,0.38378,0.62281,0.62281,0.62281
2,5,0.62281,0.3114,0.5,0.38378,0.62281,0.62281,0.62281
2,6,0.62281,0.3114,0.5,0.38378,0.62281,0.62281,0.62281
2,7,0.62281,0.3114,0.5,0.38378,0.62281,0.62281,0.62281
2,8,0.37719,0.1886,0.5,0.27389,0.37719,0.37719,0.37719
2,9,0.62281,0.3114,0.5,0.38378,0.62281,0.62281,0.62281
3,0,0.62281,0.3114,0.5,0.38378,0.62281,0.62281,0.62281
3,1,0.62281,0.3114,0.5,0.38378,0.62281,0.62281,0.62281
3,2,0.62281,0.3114,0.5,0.38378,0.62281,0.62281,0.62281
3,3,0.62281,0.3114,0.5,0.38378,0.62281,0.62281,0.62281
3,4,0.62281,0.3114,0.5,0.38378,0.62281,0.62281,0.62281
3,5,0.62281,0.3114,0.5,0.38378,0.62281,0.62281,0.62281
3,6,0.62281,0.3114,0.5,0.38378,0.62281,0.62281,0.62281
3,7,0.62281,0.3114,0.5,0.38378,0.62281,0.62281,0.62281
3,8,0.37719,0.1886,0.5,0.27389,0.37719,0.37719,0.37719
3,9,0.62281,0.3114,0.5,0.38378,0.62281,0.62281,0.62281
4,0,0.62281,0.3114,0.5,0.38378,0.62281,0.62281,0.62281
4,1,0.62281,0.3114,0.5,0.38378,0.62281,0.62281,0.62281
4,2,0.62281,0.3114,0.5,0.38378,0.62281,0.62281,0.62281
4,3,0.62281,0.3114,0.5,0.38378,0.62281,0.62281,0.62281
4,4,0.62281,0.3114,0.5,0.38378,0.62281,0.62281,0.62281
4,5,0.62281,0.3114,0.5,0.38378,0.62281,0.62281,0.62281
4,6,0.62281,0.3114,0.5,0.38378,0.62281,0.62281,0.62281
4,7,0.62281,0.3114,0.5,0.38378,0.62281,0.62281,0.62281
4,8,0.37719,0.1886,0.5,0.27389,0.37719,0.37719,0.37719
4,9,0.62281,0.3114,0.5,0.38378,0.62281,0.62281,0.62281
5,0,0.62281,0.3114,0.5,0.38378,0.62281,0.62281,0.62281
5,1,0.62281,0.3114,0.5,0.38378,0.62281,0.62281,0.62281
5,2,0.62281,0.3114,0.5,0.38378,0.62281,0.62281,0.62281
5,3,0.62281,0.3114,0.5,0.38378,0.62281,0.62281,0.62281
5,4,0.62281,0.3114,0.5,0.38378,0.62281,0.62281,0.62281
5,5,0.62281,0.3114,0.5,0.38378,0.62281,0.62281,0.62281
5,6,0.62281,0.3114,0.5,0.38378,0.62281,0.62281,0.62281
5,7,0.62281,0.3114,0.5,0.38378,0.62281,0.62281,0.62281
5,8,0.37719,0.1886,0.5,0.27389,0.37719,0.37719,0.37719
5,9,0.62281,0.3114,0.5,0.38378,0.62281,0.62281,0.62281
6,0,0.62281,0.3114,0.5,0.38378,0.62281,0.62281,0.62281
6,1,0.62281,0.3114,0.5,0.38378,0.62281,0.62281,0.62281
6,2,0.62281,0.3114,0.5,0.38378,0.62281,0.62281,0.62281
6,3,0.62281,0.3114,0.5,0.38378,0.62281,0.62281,0.62281
6,4,0.62281,0.3114,0.5,0.38378,0.62281,0.62281,0.62281
6,5,0.62281,0.3114,0.5,0.38378,0.62281,0.62281,0.62281
6,6,0.62281,0.3114,0.5,0.38378,0.62281,0.62281,0.62281
6,7,0.62281,0.3114,0.5,0.38378,0.62281,0.62281,0.62281
6,8,0.37719,0.1886,0.5,0.27389,0.37719,0.37719,0.37719
6,9,0.62281,0.3114,0.5,0.38378,0.62281,0.62281,0.62281
7,0,0.62281,0.3114,0.5,0.38378,0.62281,0.62281,0.62281
7,1,0.62281,0.3114,0.5,0.38378,0.62281,0.62281,0.62281
7,2,0.62281,0.3114,0.5,0.38378,0.62281,0.62281,0.62281
7,3,0.62281,0.3114,0.5,0.38378,0.62281,0.62281,0.62281
7,4,0.62281,0.3114,0.5,0.38378,0.62281,0.62281,0.62281
7,5,0.62281,0.3114,0.5,0.38378,0.62281,0.62281,0.62281
7,6,0.62281,0.3114,0.5,0.38378,0.62281,0.62281,0.62281
7,7,0.62281,0.3114,0.5,0.38378,0.62281,0.62281,0.62281
7,8,0.37719,0.1886,0.5,0.27389,0.37719,0.37719,0.37719
7,9,0.62281,0.3114,0.5,0.38378,0.62281,0.62281,0.62281
8,0,0.62281,0.3114,0.5,0.38378,0.62281,0.62281,0.62281
8,1,0.62281,0.3114,0.5,0.38378,0.62281,0.62281,0.62281
8,2,0.62281,0.3114,0.5,0.38378,0.62281,0.62281,0.62281
8,3,0.62281,0.3114,0.5,0.38378,0.62281,0.62281,0.62281
8,4,0.62281,0.3114,0.5,0.38378,0.62281,0.62281,0.62281
8,5,0.62281,0.3114,0.5,0.38378,0.62281,0.62281,0.62281
8,6,0.62281,0.3114,0.5,0.38378,0.62281,0.62281,0.62281
8,7,0.62281,0.3114,0.5,0.38378,0.62281,0.62281,0.62281
8,8,0.37719,0.1886,0.5,0.27389,0.37719,0.37719,0.37719
8,9,0.62281,0.3114,0.5,0.38378,0.62281,0.62281,0.62281
9,0,0.62281,0.3114,0.5,0.38378,0.62281,0.62281,0.62281
9,1,0.62281,0.3114,0.5,0.38378,0.62281,0.62281,0.62281
9,2,0.62281,0.3114,0.5,0.38378,0.62281,0.62281,0.62281
9,3,0.62281,0.3114,0.5,0.38378,0.62281,0.62281,0.62281
9,4,0.62281,0.3114,0.5,0.38378,0.62281,0.62281,0.62281
9,5,0.62281,0.3114,0.5,0.38378,0.62281,0.62281,0.62281
9,6,0.62281,0.3114,0.5,0.38378,0.62281,0.62281,0.62281
9,7,0.62281,0.3114,0.5,0.38378,0.62281,0.62281,0.62281
9,8,0.37719,0.1886,0.5,0.27389,0.37719,0.37719,0.37719
9,9,0.62281,0.3114,0.5,0.38378,0.62281,0.62281,0.62281
10,0,0.62281,0.3114,0.5,0.38378,0.62281,0.62281,0.62281
10,1,0.62281,0.3114,0.5,0.38378,0.62281,0.62281,0.62281
10,2,0.62281,0.3114,0.5,0.38378,0.62281,0.62281,0.62281
10,3,0.62281,0.3114,0.5,0.38378,0.62281,0.62281,0.62281
10,4,0.62281,0.3114,0.5,0.38378,0.62281,0.62281,0.62281
10,5,0.62281,0.3114,0.5,0.38378,0.62281,0.62281,0.62281
10,6,0.62281,0.3114,0.5,0.38378,0.62281,0.62281,0.62281
10,7,0.62281,0.3114,0.5,0.38378,0.62281,0.62281,0.62281
10,8,0.37719,0.1886,0.5,0.27389,0.37719,0.37719,0.37719
10,9,0.62281,0.3114,0.5,0.38378,0.62281,0.62281,0.62281
11,0,0.62281,0.3114,0.5,0.38378,0.62281,0.62281,0.62281
11,1,0.62281,0.3114,0.5,0.38378,0.62281,0.62281,0.62281
11,2,0.62281,0.3114,0.5,0.38378,0.62281,0.62281,0.62281
11,3,0.62281,0.3114,0.5,0.38378,0.62281,0.62281,0.62281
11,4,0.62281,0.3114,0.5,0.38378,0.62281,0.62281,0.62281
11,5,0.62281,0.3114,0.5,0.38378,0.62281,0.62281,0.62281
11,6,0.62281,0.3114,0.5,0.38378,0.62281,0.62281,0.62281
11,7,0.62281,0.3114,0.5,0.38378,0.62281,0.62281,0.62281
11,8,0.37719,0.1886,0.5,0.27389,0.37719,0.37719,0.37719
11,9,0.62281,0.3114,0.5,0.38378,0.62281,0.62281,0.62281
12,0,0.62281,0.3114,0.5,0.38378,0.62281,0.62281,0.62281
12,1,0.62281,0.3114,0.5,0.38378,0.62281,0.62281,0.62281
