round,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0.62281,0.3114,0.5,0.38378,0.62281,0.62281,0.62281
2,0.62281,0.3114,0.5,0.38378,0.62281,0.62281,0.62281
3,0.62281,0.3114,0.5,0.38378,0.62281,0.62281,0.62281
4,0.62281,0.3114,0.5,0.38378,0.62281,0.62281,0.62281
5,0.62281,0.3114,0.5,0.38378,0.62281,0.62281,0.62281
6,0.62281,0.3114,0.5,0.38378,0.62281,0.62281,0.62281
7,0.62281,0.3114,0.5,0.38378,0.62281,0.62281,0.62281
8,0.62281,0.3114,0.5,0.38378,0.62281,0.62281,0.62281
9,0.62281,0.3114,0.5,0.38378,0.62281,0.62281,0.62281
10,0.62281,0.3114,0.5,0.38378,0.62281,0.62281,0.62281
11,0.62281,0.3114,0.5,0.38378,0.62281,0.62281,0.62281
12,0.62281,0.3114,0.5,0.38378,0.62281,0.62281,0.62281
13,0.62281,0.3114,0.5,0.38378,0.62281,0.62281,0.62281
14,0.62281,0.3114,0.5,0.38378,0.62281,0.62281,0.62281
15,0.62281,0.3114,0.5,0.38378,0.62281,0.62281,0.62281
16,0.62281,0.3114,0.5,0.38378,0.62281,0.62281,0.62281
17,0.62281,0.3114,0.5,0.38378,0.62281,0.62281,0.62281
18,0.62281,0.3114,0.5,0.38378,0.62281,0.62281,0.62281
19,0.62281,0.3114,0.5,0.38378,0.62281,0.62281,0.62281
20,0.62281,0.3114,0.5,0.38378,0.62281,0.62281,0.62281
21,0.62281,0.3114,0.5,0.38378,0.62281,0.62281,0.62281
22,0.62281,0.3114,0.5,0.38378,0.62281,0.62281,0.62281
23,0.62281,0.3114,0.5,0.38378,0.62281,0.62281,0.62281
24,0.62281,0.3114,0.5,0.38378,0.62281,0.62281,0.62281
25,0.62281,0.3114,0.5,0.38378,0.62281,0.62281,0.62281
26,0.62281,0.3114,0.5,0.38378,0.62281,0.62281,0.62281
27,0.62281,0.3114,0.5,0.38378,0.62281,0.62281,0.62281
28,0.62281,0.3114,0.5,0.38378,0.62281,0.62281,0.62281
29,0.62281,0.3114,0.5,0.38378,0.62281,0.62281,0.62281
30,0.62281,0.3114,0.5,0.38378,0.62281,0.62281,0.62281
31,0.62281,0.3114,0.5,0.38378,0.62281,0.62281,0.62281
32,0.62281,0.3114,0.5,0.38378,0.62281,0.62281,0.62281
33,0.62281,0.3114,0.5,0.38378,0.62281,0.62281,0.62281
34,0.62281,0.3114,0.5,0.38378,0.62281,0.62281,0.62281
35,0.62281,0.3114,0.5,0.38378,0.62281,0.62281,0.62281
36,0.62281,0.3114,0.5,0.38378,0.62281,0.62281,0.62281
37,0.62281,0.3114,0.5,0.38378,0.62281,0.62281,0.62281
38,0.62281,0.3114,0.5,0.38378,0.62281,0.62281,0.62281
39,0.62281,0.3114,0.5,0.38378,0.62281,0.62281,0.62281
40,0.62281,0.3114,0.5,0.38378,0.62281,0.62281,0.62281
41,0.62281,0.3114,0.5,0.38378,0.62281,0.62281,0.62281
42,0.62281,0.3114,0.5,0.38378,0.62281,0.62281,0.62281
43,0.62281,0.3114,0.5,0.38378,0.62281,0.62281,0.62281
44,0.62281,0.3114,0.5,0.38378,0.62281,0.62281,0.62281
45,0.62281,0.3114,0.5,0.38378,0.62281,0.62281,0.62281
46,0.62281,0.3114,0.5,0.38378,0.62281,0.62281,0.62281
47,0.62281,0.3114,0.5,0.38378,0.62281,0.62281,0.62281
48,0.62281,0.3114,0.5,0.38378,0.62281,0.62281,0.62281
49,0.62281,0.3114,0.5,0.38378,0.62281,0.62281,0.62281
50,0.62281,0.3114,0.5,0.38378,0.62281,0.62281,0.62281
