round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.7,0.35,0.5,0.41176,0.7,0.7,0.7
1,1,0.55556,0.27778,0.5,0.35714,0.55556,0.55556,0.55556
1,2,0.66667,0.33333,0.5,0.4,0.66667,0.66667,0.66667
1,3,0.77778,0.38889,0.5,0.4375,0.77778,0.77778,0.77778
1,4,0.55556,0.27778,0.5,0.35714,0.55556,0.55556,0.55556
1,5,0.55556,0.27778,0.5,0.35714,0.55556,0.55556,0.55556
1,6,0.33333,0.16667,0.5,0.25,0.33333,0.33333,0.33333
1,7,0.77778,0.38889,0.5,0.4375,0.77778,0.77778,0.77778
1,8,0.66667,0.33333,0.5,0.4,0.66667,0.66667,0.66667
1,9,0.66667,0.33333,0.5,0.4,0.66667,0.66667,0.66667
2,0,0.7,0.35,0.5,0.41176,0.7,0.7,0.7
2,1,0.55556,0.27778,0.5,0.35714,0.55556,0.55556,0.55556
2,2,0.66667,0.33333,0.5,0.4,0.66667,0.66667,0.66667
2,3,0.77778,0.38889,0.5,0.4375,0.77778,0.77778,0.77778
2,4,0.55556,0.27778,0.5,0.35714,0.55556,0.55556,0.55556
2,5,0.55556,0.27778,0.5,0.35714,0.55556,0.55556,0.55556
2,6,0.33333,0.16667,0.5,0.25,0.33333,0.33333,0.33333
2,7,0.77778,0.38889,0.5,0.4375,0.77778,0.77778,0.77778
2,8,0.66667,0.33333,0.5,0.4,0.66667,0.66667,0.66667
2,9,0.66667,0.33333,0.5,0.4,0.66667,0.66667,0.66667
3,0,0.7,0.35,0.5,0.41176,0.7,0.7,0.7
3,1,0.55556,0.27778,0.5,0.35714,0.55556,0.55556,0.55556
3,2,0.66667,0.33333,0.5,0.4,0.66667,0.66667,0.66667
3,3,0.77778,0.38889,0.5,0.4375,0.77778,0.77778,0.77778
3,4,0.55556,0.27778,0.5,0.35714,0.55556,0.55556,0.55556
3,5,0.55556,0.27778,0.5,0.35714,0.55556,0.55556,0.55556
3,6,0.33333,0.16667,0.5,0.25,0.33333,0.33333,0.33333
3,7,0.77778,0.38889,0.5,0.4375,0.77778,0.77778,0.77778
3,8,0.66667,0.33333,0.5,0.4,0.66667,0.66667,0.66667
3,9,0.66667,0.33333,0.5,0.4,0.66667,0.66667,0.66667
4,0,0.7,0.35,0.5,0.41176,0.7,0.7,0.7
4,1,0.55556,0.27778,0.5,0.35714,0.55556,0.55556,0.55556
4,2,0.66667,0.33333,0.5,0.4,0.66667,0.66667,0.66667
4,3,0.77778,0.38889,0.5,0.4375,0.77778,0.77778,0.77778
4,4,0.55556,0.27778,0.5,0.35714,0.55556,0.55556,0.55556
4,5,0.55556,0.27778,0.5,0.35714,0.55556,0.55556,0.55556
4,6,0.33333,0.16667,0.5,0.25,0.33333,0.33333,0.33333
4,7,0.77778,0.38889,0.5,0.4375,0.77778,0.77778,0.77778
4,8,0.66667,0.33333,0.5,0.4,0.66667,0.66667,0.66667
4,9,0.66667,0.33333,0.5,0.4,0.66667,0.66667,0.66667
5,0,0.7,0.35,0.5,0.41176,0.7,0.7,0.7
5,1,0.55556,0.27778,0.5,0.35714,0.55556,0.55556,0.55556
5,2,0.66667,0.33333,0.5,0.4,0.66667,0.66667,0.66667
5,3,0.77778,0.38889,0.5,0.4375,0.77778,0.77778,0.77778
5,4,0.55556,0.27778,0.5,0.35714,0.55556,0.55556,0.55556
5,5,0.55556,0.27778,0.5,0.35714,0.55556,0.55556,0.55556
5,6,0.33333,0.16667,0.5,0.25,0.33333,0.33333,0.33333
5,7,0.77778,0.38889,0.5,0.4375,0.77778,0.77778,0.77778
5,8,0.66667,0.33333,0.5,0.4,0.66667,0.66667,0.66667
5,9,0.66667,0.33333,0.5,0.4,0.66667,0.66667,0.66667
6,0,0.7,0.35,0.5,0.41176,0.7,0.7,0.7
6,1,0.55556,0.27778,0.5,0.35714,0.55556,0.55556,0.55556
6,2,0.66667,0.33333,0.5,0.4,0.66667,0.66667,0.66667
6,3,0.77778,0.38889,0.5,0.4375,0.77778,0.77778,0.77778
6,4,0.55556,0.27778,0.5,0.35714,0.55556,0.55556,0.55556
6,5,0.55556,0.27778,0.5,0.35714,0.55556,0.55556,0.55556
6,6,0.33333,0.16667,0.5,0.25,0.33333,0.33333,0.33333
6,7,0.77778,0.38889,0.5,0.4375,0.77778,0.77778,0.77778
6,8,0.66667,0.33333,0.5,0.4,0.66667,0.66667,0.66667
6,9,0.66667,0.33333,0.5,0.4,0.66667,0.66667,0.66667
7,0,0.7,0.35,0.5,0.41176,0.7,0.7,0.7
7,1,0.55556,0.27778,0.5,0.35714,0.55556,0.55556,0.55556
7,2,0.66667,0.33333,0.5,0.4,0.66667,0.66667,0.66667
7,3,0.77778,0.38889,0.5,0.4375,0.77778,0.77778,0.77778
7,4,0.55556,0.27778,0.5,0.35714,0.55556,0.55556,0.55556
7,5,0.55556,0.27778,0.5,0.35714,0.55556,0.55556,0.55556
7,6,0.33333,0.16667,0.5,0.25,0.33333,0.33333,0.33333
7,7,0.77778,0.38889,0.5,0.4375,0.77778,0.77778,0.77778
7,8,0.66667,0.33333,0.5,0.4,0.66667,0.66667,0.66667
7,9,0.66667,0.33333,0.5,0.4,0.66667,0.66667,0.66667
8,0,0.7,0.35,0.5,0.41176,0.7,0.7,0.7
8,1,0.55556,0.27778,0.5,0.35714,0.55556,0.55556,0.55556
8,2,0.66667,0.33333,0.5,0.4,0.66667,0.66667,0.66667
8,3,0.77778,0.38889,0.5,0.4375,0.77778,0.77778,0.77778
8,4,0.55556,0.27778,0.5,0.35714,0.55556,0.55556,0.55556
8,5,0.55556,0.27778,0.5,0.35714,0.55556,0.55556,0.55556
8,6,0.33333,0.16667,0.5,0.25,0.33333,0.33333,0.33333
8,7,0.77778,0.38889,0.5,0.4375,0.77778,0.77778,0.77778
8,8,0.66667,0.33333,0.5,0.4,0.66667,0.66667,0.66667
8,9,0.66667,0.33333,0.5,0.4,0.66667,0.66667,0.66667
9,0,0.7,0.35,0.5,0.41176,0.7,0.7,0.7
9,1,0.55556,0.27778,0.5,0.35714,0.55556,0.55556,0.55556
9,2,0.66667,0.33333,0.5,0.4,0.66667,0.66667,0.66667
9,3,0.77778,0.38889,0.5,0.4375,0.77778,0.77778,0.77778
9,4,0.55556,0.27778,0.5,0.35714,0.55556,0.55556,0.55556
9,5,0.55556,0.27778,0.5,0.35714,0.55556,0.55556,0.55556
9,6,0.33333,0.16667,0.5,0.25,0.33333,0.33333,0.33333
9,7,0.77778,0.38889,0.5,0.4375,0.77778,0.77778,0.77778
9,8,0.66667,0.33333,0.5,0.4,0.66667,0.66667,0.66667
9,9,0.66667,0.33333,0.5,0.4,0.66667,0.66667,0.66667
10,0,0.7,0.35,0.5,0.41176,0.7,0.7,0.7
10,1,0.55556,0.27778,0.5,0.35714,0.55556,0.55556,0.55556
10,2,0.66667,0.33333,0.5,0.4,0.66667,0.66667,0.66667
10,3,0.77778,0.38889,0.5,0.4375,0.77778,0.77778,0.77778
10,4,0.55556,0.27778,0.5,0.35714,0.55556,0.55556,0.55556
10,5,0.55556,0.27778,0.5,0.35714,0.55556,0.55556,0.55556
10,6,0.33333,0.16667,0.5,0.25,0.33333,0.33333,0.33333
10,7,0.77778,0.38889,0.5,0.4375,0.77778,0.77778,0.77778
