round,comm_costs
1,82600
2,82600
3,82600
4,82600
5,82600
6,82600
7,82600
8,82600
9,82600
10,82600
11,82600
12,82600
13,82600
14,82600
15,82600
16,82600
17,82600
18,82600
19,82600
20,82600
21,82600
22,82600
23,82600
24,82600
25,82600
26,82600
27,82600
28,82600
29,82600
30,82600
31,82600
32,82600
33,82600
34,82600
35,82600
36,82600
37,82600
38,82600
39,82600
40,82600
41,82600
42,82600
43,82600
44,82600
45,82600
46,82600
47,82600
48,82600
49,82600
50,123900
